mi,max_slice,mri_key,animal_id,map_name
-0.4002102058641454,1,mri_2,23X,cell_count_100
-0.3894319832663232,2,mri_2,23X,cell_count_100
-0.39886174172509214,3,mri_2,23X,cell_count_100
-0.46752596452248935,1,mri_2,23X,cell_count_150
-0.4884353077374246,2,mri_2,23X,cell_count_150
-0.49053799130728387,3,mri_2,23X,cell_count_150
-0.43389708973820973,1,mri_2,23X,cell_count_200
-0.42474673426794174,2,mri_2,23X,cell_count_200
-0.42709425567351544,3,mri_2,23X,cell_count_200
-0.4398154761532861,1,mri_2,23X,cell_count_250
-0.42739875491178103,2,mri_2,23X,cell_count_250
-0.42329265564546853,3,mri_2,23X,cell_count_250
-0.4355232536604554,1,mri_2,23X,cell_count_300
-0.428252630588569,2,mri_2,23X,cell_count_300
-0.42512276139036126,3,mri_2,23X,cell_count_300
-0.4407666654854966,1,mri_2,23X,cell_count_350
-0.43402800437219685,2,mri_2,23X,cell_count_350
-0.43386096450696354,3,mri_2,23X,cell_count_350
-0.4307673610411648,1,mri_2,23X,cell_count_400
-0.4160833149674383,2,mri_2,23X,cell_count_400
-0.42648074072098546,3,mri_2,23X,cell_count_400
-0.41630070327731444,1,mri_2,23X,cell_count_450
-0.4214560004276342,2,mri_2,23X,cell_count_450
-0.4272749778168717,3,mri_2,23X,cell_count_450
-0.28151100244339106,1,mri_2,23X,cell_count_50
-0.3226441646187203,2,mri_2,23X,cell_count_50
-0.35532196291194773,3,mri_2,23X,cell_count_50
-0.442068865279031,1,mri_2,23X,cell_count_500
-0.44079695867296564,2,mri_2,23X,cell_count_500
-0.4326758729825879,3,mri_2,23X,cell_count_500
