hist_name,map_name,mi,mri_key,no_reg_mi
23R-1,100,-0.3469455212887273,mri_1,
23R-1,150,-0.3739495922641462,mri_1,
23R-1,200,-0.3748832694686524,mri_1,
23R-1,250,-0.3769255848861744,mri_1,
23R-1,300,-0.365201878373996,mri_1,
23R-1,350,-0.3617608440134136,mri_1,
23R-1,400,-0.3606592767959754,mri_1,
23R-1,450,-0.3545224201830291,mri_1,
23R-1,50,-0.3062285925752263,mri_1,
23R-1,500,-0.3672262505185401,mri_1,
23R-1,MRI Width,-0.3310865956515196,mri_1,
23R-2,100,-0.3591320203306388,mri_1,
23R-2,150,-0.3817260995938079,mri_1,
23R-2,200,-0.3796723241624132,mri_1,
23R-2,250,-0.3903570788307516,mri_1,
23R-2,300,-0.3810916174088856,mri_1,
23R-2,350,-0.3760917995610431,mri_1,
23R-2,400,-0.3874152264172011,mri_1,
23R-2,450,-0.3814212687568405,mri_1,
23R-2,50,-0.3193941009740389,mri_1,
23R-2,500,-0.370220338474965,mri_1,
23R-2,MRI Width,-0.3445194112808616,mri_1,
23R-3,100,-0.3402245360879237,mri_1,
23R-3,150,-0.35003066463395,mri_1,
23R-3,200,-0.3506545983297524,mri_1,
23R-3,250,-0.3412448054579336,mri_1,
23R-3,300,-0.3510801854928321,mri_1,
23R-3,350,-0.3564074717477579,mri_1,
23R-3,400,-0.3435116049870079,mri_1,
23R-3,450,-0.3537150628450091,mri_1,
23R-3,50,-0.3147015505532262,mri_1,
23R-3,500,-0.3449637401664465,mri_1,
23R-3,MRI Width,-0.3285575410994372,mri_1,
23R-3,100,-0.3985186500005397,mri_2,
23R-3,150,-0.4112881607167657,mri_2,
23R-3,200,-0.4126788610983707,mri_2,
23R-3,250,-0.402767842077623,mri_2,
23R-3,300,-0.4104865291390701,mri_2,
23R-3,350,-0.4121353141401655,mri_2,
23R-3,400,-0.4030790955408665,mri_2,
23R-3,450,-0.4116229530540231,mri_2,
23R-3,50,-0.3687170381759807,mri_2,
23R-3,500,-0.4024142041491677,mri_2,
23R-3,MRI Width,-0.386573292961928,mri_2,
23R-4,100,-0.4065484029682507,mri_2,
23R-4,150,-0.4324470498084787,mri_2,
23R-4,200,-0.4315865452302003,mri_2,
23R-4,250,-0.4315049752453837,mri_2,
23R-4,300,-0.4215451624908796,mri_2,
23R-4,350,-0.4196039148611046,mri_2,
23R-4,400,-0.4055011398038717,mri_2,
23R-4,450,-0.3957545014861265,mri_2,
23R-4,50,-0.3627202716481442,mri_2,
23R-4,500,-0.4270398449380999,mri_2,
23R-4,MRI Width,-0.3800820722803616,mri_2,
23R-5,100,-0.3960839663950975,mri_2,
23R-5,150,-0.4277348045137885,mri_2,
23R-5,200,-0.4197197748665917,mri_2,
23R-5,250,-0.4227440989026308,mri_2,
23R-5,300,-0.4137680138174724,mri_2,
23R-5,350,-0.4188640313984106,mri_2,
23R-5,400,-0.4000008506527628,mri_2,
23R-5,450,-0.3878181964882212,mri_2,
23R-5,50,-0.3481252621776111,mri_2,
23R-5,500,-0.4234107141007492,mri_2,
23R-5,MRI Width,-0.3656199592853216,mri_2,
23R-1,100,-0.0272687884194433,mri_1,
23R-1,150,-0.0334406914158664,mri_1,
23R-1,200,-0.0351770908525969,mri_1,
23R-1,250,-0.0360781272675475,mri_1,
23R-1,300,-0.0364762520033557,mri_1,
23R-1,350,-0.0366789177693253,mri_1,
23R-1,400,-0.0377184127798253,mri_1,
23R-1,450,-0.0388296209826047,mri_1,
23R-1,50,-0.0243850680428257,mri_1,
23R-1,500,-0.0393429000476914,mri_1,
23R-1,MRI Width,-0.0272118896793918,mri_1,
23R-2,100,-0.2721547461006025,mri_1,
23R-2,150,-0.2906573087505529,mri_1,
23R-2,200,-0.2890311024563058,mri_1,
23R-2,250,-0.2974929360914671,mri_1,
23R-2,300,-0.3012896763115306,mri_1,
23R-2,350,-0.2969181813639084,mri_1,
23R-2,400,-0.2989824452599966,mri_1,
23R-2,450,-0.3006196987673668,mri_1,
23R-2,50,-0.244696014497373,mri_1,
23R-2,500,-0.2875756426684756,mri_1,
23R-2,MRI Width,-0.2606529325998797,mri_1,
23R-3,100,-0.097612978529886,mri_1,
23R-3,150,-0.0996975413771462,mri_1,
23R-3,200,-0.098970812174528,mri_1,
23R-3,250,-0.1007978412068279,mri_1,
23R-3,300,-0.0990935818492078,mri_1,
23R-3,350,-0.0990630469338582,mri_1,
23R-3,400,-0.0990896525836459,mri_1,
23R-3,450,-0.0975780272523649,mri_1,
23R-3,50,-0.0928519408082901,mri_1,
23R-3,500,-0.1007121766248864,mri_1,
23R-3,MRI Width,-0.0950083578709861,mri_1,
23R-3,100,-0.0202934504211784,mri_2,
23R-3,150,-0.0210962695722524,mri_2,
23R-3,200,-0.0215276230390975,mri_2,
23R-3,250,-0.0215035115195792,mri_2,
23R-3,300,-0.0226996427949838,mri_2,
23R-3,350,-0.0223943376559787,mri_2,
23R-3,400,-0.0224480424778208,mri_2,
23R-3,450,-0.0228388947088305,mri_2,
23R-3,50,-0.0178243739624422,mri_2,
23R-3,500,-0.0222093267661163,mri_2,
23R-3,MRI Width,-0.0192851836259867,mri_2,
23R-4,100,-0.3630945236193437,mri_2,
23R-4,150,-0.3873614118441935,mri_2,
23R-4,200,-0.387754974393642,mri_2,
23R-4,250,-0.3862501013730766,mri_2,
23R-4,300,-0.3843642522497474,mri_2,
23R-4,350,-0.3786100350494632,mri_2,
23R-4,400,-0.3635141670552064,mri_2,
23R-4,450,-0.3618471091523547,mri_2,
23R-4,50,-0.3278626218711091,mri_2,
23R-4,500,-0.3882154755010258,mri_2,
23R-4,MRI Width,-0.3437701019372301,mri_2,
23R-5,100,-0.1954918538048504,mri_2,
23R-5,150,-0.2085750886854626,mri_2,
23R-5,200,-0.210911109624608,mri_2,
23R-5,250,-0.2135162744140766,mri_2,
23R-5,300,-0.2241205486524494,mri_2,
23R-5,350,-0.2208479707287799,mri_2,
23R-5,400,-0.2245318555758869,mri_2,
23R-5,450,-0.2182374204900042,mri_2,
23R-5,50,-0.171590110531407,mri_2,
23R-5,500,-0.2190149272803839,mri_2,
23R-5,MRI Width,-0.1811442097183528,mri_2,
23R-1,100,-0.3346273475621734,mri_1,
23R-2,100,-0.3574339099695093,mri_1,
23R-3,100,-0.1301700179071577,mri_1,
23R-3,100,-0.3954323975222922,mri_2,
23R-4,100,-0.3982150682494359,mri_2,
23R-5,100,-0.3877829435145198,mri_2,
23R-1,100,-0.3469455212887273,mri_1,
23R-1,150,-0.3739495922641462,mri_1,
23R-1,200,-0.3748832694686524,mri_1,
23R-1,250,-0.3769255848861744,mri_1,
23R-1,300,-0.365201878373996,mri_1,
23R-1,350,-0.3617608440134136,mri_1,
23R-1,400,-0.3606592767959754,mri_1,
23R-1,450,-0.3545224201830291,mri_1,
23R-1,50,-0.3062285925752263,mri_1,
23R-1,500,-0.3672262505185401,mri_1,
23R-1,MRI Width,-0.3310865956515196,mri_1,
23R-2,100,-0.3591320203306388,mri_1,
23R-2,150,-0.3817260995938079,mri_1,
23R-2,200,-0.3796723241624132,mri_1,
23R-2,250,-0.3903570788307516,mri_1,
23R-2,300,-0.3810916174088856,mri_1,
