,Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
0,reg_type,Affine,Rigid,True,True,-1.1440163327239752,32.0,two-sided,0.2611026845531417,0.5222053691062833,holm,0.339,-0.2591369526476552
1,reg_type,Affine,SyN,True,True,-7.137260669844769,32.0,two-sided,4.2291716527209024e-08,2.5375029916325414e-07,holm,3.346e+05,-1.4513791426216405
2,reg_type,Affine,SyNOnly,True,True,8.191565074722872,32.0,two-sided,2.3433781505082012e-09,1.640364705355741e-08,holm,5.093e+06,1.703355966415475
3,reg_type,Affine,SyNRA,True,True,-6.748722553355381,32.0,two-sided,1.2661001333031004e-07,6.330500666515502e-07,holm,1.198e+05,-1.3206543464304044
4,reg_type,Rigid,SyN,True,True,-5.626708677051336,32.0,two-sided,3.206910617453914e-06,1.2827642469815656e-05,holm,5934.402,-1.0739039149916902
5,reg_type,Rigid,SyNOnly,True,True,8.814674441212018,32.0,two-sided,4.5179035158100623e-10,3.61432281264805e-09,holm,2.416e+07,1.9697939555101542
6,reg_type,Rigid,SyNRA,True,True,-5.393673448212436,32.0,two-sided,6.31897026536589e-06,1.895691079609767e-05,holm,3174.029,-0.9697246097250156
7,reg_type,SyN,SyNOnly,True,True,36.40434374791418,32.0,two-sided,1.2898921204358951e-27,1.2898921204358952e-26,holm,1.784e+24,5.508556887116413
8,reg_type,SyN,SyNRA,True,True,0.8099722008179886,32.0,two-sided,0.42393872651895315,0.5222053691062833,holm,0.252,0.07420103305300374
9,reg_type,SyNOnly,SyNRA,True,True,-24.71791019076045,32.0,two-sided,2.0308822759067551e-22,1.8277940483160795e-21,holm,1.691e+19,-4.5971119909431915
