group1,group2,meandiff,tost_pvalue_raw,p-adj,equivalent
Affine,Rigid,-0.02009783487506095,0.05939444548291645,0.29697222741458223,False
Affine,SyN,-0.11026707422743015,0.995799996022058,1.0,False
Affine,SyNOnly,0.11475884126868885,0.9987282651676339,1.0,False
Affine,SyNRA,-0.10018965237967448,0.9769531753035112,1.0,False
Rigid,SyN,-0.0901692393523692,0.9497920951445088,1.0,False
Rigid,SyNOnly,0.1348566761437498,0.9999575343415334,1.0,False
Rigid,SyNRA,-0.08009181750461353,0.8533754870952301,1.0,False
SyN,SyNOnly,0.225025915496119,1.0,1.0,False
SyN,SyNRA,0.010077421847755674,0.0011201910968205555,0.011201910968205555,True
SyNOnly,SyNRA,-0.21494849364836333,1.0,1.0,False
