,hist_name,map_name,mi,mri_key,reg_type,dice,jaccard
0,23R-1,cell_count_100,0.0272687884194433,mri_1,Affine,0.233184880666895,0.1319803516028955
1,23R-2,cell_count_100,0.2721547461006025,mri_1,Affine,0.8613303269447576,0.7564356435643564
2,23R-3,cell_count_100,0.097612978529886,mri_1,Affine,0.4322900526805082,0.2757461949001779
3,23R-3,cell_count_100,0.0202934504211784,mri_2,Affine,0.144718254591116,0.0780033840947546
4,23R-4,cell_count_100,0.3630945236193437,mri_2,Affine,0.9369831765041348,0.8814377682403434
5,23R-5,cell_count_100,0.1954918538048504,mri_2,Affine,0.7330653266331658,0.5786133587180707
6,23R-1,cell_count_100,0.1648330889731246,mri_1,Rigid,0.6692766592095452,0.5029420005603811
7,23R-2,cell_count_100,0.1345603533670935,mri_1,Rigid,0.5993167398731089,0.4278745644599303
8,23R-3,cell_count_100,0.097612978529886,mri_1,Rigid,0.4322900526805082,0.2757461949001779
9,23R-3,cell_count_100,0.0555180654569492,mri_2,Rigid,0.2994716981132075,0.176105094976034
10,23R-4,cell_count_100,0.2575146380965744,mri_2,Rigid,0.7907538061641292,0.6539229233840013
11,23R-5,cell_count_100,0.3765074087400704,mri_2,Rigid,0.9421640070104234,0.8906522497384025
12,23R-1,cell_count_100,0.3469455212887273,mri_1,SyN,0.939820986478766,0.8864738638404885
13,23R-2,cell_count_100,0.3591320203306388,mri_1,SyN,0.9442515432098764,0.8943906449844692
14,23R-3,cell_count_100,0.3107308139457224,mri_1,SyN,0.8675256029071688,0.766044340723454
15,23R-3,cell_count_100,0.2570810794432387,mri_2,SyN,0.7607824652368607,0.6139216432103461
16,23R-4,cell_count_100,0.4065484029682507,mri_2,SyN,0.9758371385083714,0.9528144157532974
17,23R-5,cell_count_100,0.3960839663950975,mri_2,SyN,0.974251781472684,0.9497962208225268
18,23R-1,cell_count_100,0.0610842434608667,mri_1,SyNOnly,0.2857941834451901,0.166721044045677
19,23R-2,cell_count_100,0.1258029809526516,mri_1,SyNOnly,0.474675514784815,0.3111964171465131
20,23R-4,cell_count_100,0.1462174122473548,mri_2,SyNOnly,0.5424642259803011,0.3721790131327298
21,23R-5,cell_count_100,0.1316259608520904,mri_2,SyNOnly,0.4988469698367309,0.3323092048666585
22,23R-1,cell_count_100,0.3412100842025631,mri_1,SyNRA,0.9482758620689656,0.9016393442622952
23,23R-2,cell_count_100,0.3609103980940066,mri_1,SyNRA,0.9441994247363374,0.8942971304031965
24,23R-3,cell_count_100,0.1135239715318218,mri_1,SyNRA,0.4455369488400675,0.2866179086776043
25,23R-3,cell_count_100,0.1543464581770316,mri_2,SyNRA,0.5430628634727221,0.3727428245580688
26,23R-4,cell_count_100,0.4047759675831993,mri_2,SyNRA,0.9735319229674604,0.9484288354898336
27,23R-5,cell_count_100,0.3917524510841451,mri_2,SyNRA,0.9724124809741248,0.946306239585262
28,23S-1,cell_count_100,0.0563196535472083,mri_1,Affine,0.3482273966855464,0.2108204216408432
29,23S-2,cell_count_100,0.1395233086309894,mri_1,Affine,0.5809961542069224,0.409439450026441
30,23S-3,cell_count_100,0.3673652640707038,mri_1,Affine,0.9436828454983328,0.8933707471062785
31,23S-3,cell_count_100,0.1237714241563157,mri_2,Affine,0.566884176182708,0.3955606146841207
32,23S-4,cell_count_100,0.193490035382537,mri_2,Affine,0.7204161248374512,0.5630081300813008
33,23S-5,cell_count_100,0.1943968940305048,mri_2,Affine,0.6909840288511077,0.5278652392947103
