,Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
0,map_name,100,150,True,True,1.9567322684034778,34.0,two-sided,0.058631982538357774,0.7035837904602933,holm,0.993,0.16957447969051231
1,map_name,100,200,True,True,5.076042848796369,34.0,two-sided,1.3688984159895346e-05,0.0004380474931166511,holm,1543.251,0.3969425192368886
2,map_name,100,250,True,True,5.704886859512389,34.0,two-sided,2.0824720614626606e-06,7.288652215119313e-05,holm,8776.804,0.46862380987984303
3,map_name,100,300,True,True,5.330960629802496,34.0,two-sided,6.384894043388941e-06,0.00021070150343183505,holm,3114.348,0.44003273794115433
4,map_name,100,350,True,True,5.376564927268909,34.0,two-sided,5.5696264878329485e-06,0.00018936730058632026,holm,3532.716,0.47802927031424963
5,map_name,100,400,True,True,4.341181590441015,34.0,two-sided,0.0001205632187851046,0.003255206907197824,holm,211.859,0.4042095718174997
6,map_name,100,450,True,True,4.161873473295586,34.0,two-sided,0.0002031221017536387,0.0050780525438409675,holm,132.209,0.4232179842261854
7,map_name,100,50,True,True,-8.326052920320867,34.0,two-sided,1.0179119888479333e-09,3.96985675650694e-08,holm,1.121e+07,-0.7578701002066792
8,map_name,100,500,True,True,5.770290952466473,34.0,two-sided,1.7120397473175005e-06,6.334547065074753e-05,holm,1.053e+04,0.5921251611393064
9,map_name,100,MRI Width,True,True,-4.584556694566331,34.0,two-sided,5.89819743210799e-05,0.0017251115219109408,holm,405.58,-0.39263240576741515
10,map_name,150,200,True,True,3.0986793682012195,34.0,two-sided,0.0038862098753310076,0.06995177775595814,holm,9.635,0.19891297068141026
11,map_name,150,250,True,True,3.781412884407168,34.0,two-sided,0.000603005070239875,0.01326611154527725,holm,49.797,0.2625561907412261
12,map_name,150,300,True,True,3.3323349836617897,34.0,two-sided,0.0020861305575816586,0.04172261115163317,holm,16.591,0.23522162659928483
13,map_name,150,350,True,True,3.4997656178052825,34.0,two-sided,0.0013217671608835762,0.0277571103785551,holm,24.801,0.2698967955778438
14,map_name,150,400,True,True,2.462425469475634,34.0,two-sided,0.019024205794887537,0.285363086923313,holm,2.485,0.19907475984574768
15,map_name,150,450,True,True,2.4940999700032904,34.0,two-sided,0.017651840708241842,0.2824294513318695,holm,2.646,0.2178276852357788
16,map_name,150,50,True,True,-11.87199655619108,34.0,two-sided,1.2103557923782387e-13,5.32556548646425e-12,holm,6.16e+10,-0.867964749544558
17,map_name,150,500,True,True,4.593154993946983,34.0,two-sided,5.7503717397031355e-05,0.0017251115219109408,holm,415.064,0.3818545066723609
18,map_name,150,MRI Width,True,True,-7.659869081859771,34.0,two-sided,6.643695772311689e-09,2.5246043934784417e-07,holm,1.904e+06,-0.5307741172045318
19,map_name,200,250,True,True,4.004270015829665,34.0,two-sided,0.0003198820767790382,0.007677169842696917,holm,87.846,0.0658814864815469
20,map_name,200,300,True,True,1.7704756000527213,34.0,two-sided,0.0856145777500592,0.9417603552506513,holm,0.739,0.03577366785883479
21,map_name,200,350,True,True,2.3649056777326143,34.0,two-sided,0.02388282084409799,0.33435949181737185,holm,2.057,0.07264084493971311
22,map_name,200,400,True,True,-0.13918913111518907,34.0,two-sided,0.8901219068655861,1.0,holm,0.183,-0.005817904036251197
23,map_name,200,450,True,True,0.29831146002939474,34.0,two-sided,0.7672809889054835,1.0,holm,0.189,0.015449302197659638
24,map_name,200,50,True,True,-18.10468630200724,34.0,two-sided,4.952069853391169e-19,2.6741177208312312e-17,holm,9.373e+15,-1.1452541543381374
25,map_name,200,500,True,True,4.2275407563702405,34.0,two-sided,0.0001678951460132313,0.004365273796344014,holm,157.012,0.19740912395294755
26,map_name,200,MRI Width,True,True,-14.297728018954976,34.0,two-sided,6.089642064439085e-16,3.105717452863933e-14,holm,9.897e+12,-0.7817788228040258
27,map_name,250,300,True,True,-1.623741482106841,34.0,two-sided,0.11366758061390429,1.0,holm,0.596,-0.030792223749554884
28,map_name,250,350,True,True,0.29072049234786346,34.0,two-sided,0.7730311337710354,1.0,holm,0.189,0.0064333751599973624
29,map_name,250,400,True,True,-2.2730941350733285,34.0,two-sided,0.029457012913818564,0.38294116787964133,holm,1.731,-0.0739520957525617
30,map_name,250,450,True,True,-1.199038363619359,34.0,two-sided,0.23880316452768852,1.0,holm,0.351,-0.05199168243850757
31,map_name,250,50,True,True,-17.076890157670636,34.0,two-sided,2.9826887901986173e-18,1.580825058805267e-16,holm,1.659e+15,-1.226367589451635
32,map_name,250,500,True,True,3.3020309522779843,34.0,two-sided,0.002263708195932154,0.04301045572271092,holm,15.443,0.13463476609340366
33,map_name,250,MRI Width,True,True,-13.50662695888705,34.0,two-sided,3.1818277363675948e-15,1.5590955908201215e-13,holm,2.02e+12,-0.8576497324363992
34,map_name,300,350,True,True,1.764432877510148,34.0,two-sided,0.08664241754739206,0.9417603552506513,holm,0.732,0.037452633607264765
35,map_name,300,400,True,True,-1.4845353443166431,34.0,two-sided,0.1468798241808903,1.0,holm,0.493,-0.04288978406225301
36,map_name,300,450,True,True,-0.5196220200988879,34.0,two-sided,0.6066937157899626,1.0,holm,0.206,-0.02101434300236088
37,map_name,300,50,True,True,-15.603620625147084,34.0,two-sided,4.5720702139994645e-17,2.3774765112797217e-15,holm,1.195e+14,-1.2013718329515113
38,map_name,300,500,True,True,4.463707125278186,34.0,two-sided,8.419466900846591e-05,0.0023574507322370454,holm,293.424,0.16529104280664578
39,map_name,300,MRI Width,True,True,-12.126030582073241,34.0,two-sided,6.73562066307637e-14,3.0983855050151305e-12,holm,1.08e+11,-0.8310731082857428
40,map_name,350,400,True,True,-3.0688452145768244,34.0,two-sided,0.004201853081160277,0.0714315023797247,holm,9.004,-0.08100474415477385
41,map_name,350,450,True,True,-1.5497948728917414,34.0,two-sided,0.13045005558971484,1.0,holm,0.538,-0.05885447168582551
42,map_name,350,50,True,True,-14.120374411530397,34.0,two-sided,8.771333089099124e-16,4.385666544549562e-14,holm,6.968e+12,-1.2406146484038731
43,map_name,350,500,True,True,3.816642127944242,34.0,two-sided,0.0005458859566177513,0.012555377002208282,holm,54.424,0.12916572874496285
44,map_name,350,MRI Width,True,True,-11.009187976855678,34.0,two-sided,9.402726155698917e-13,4.0431722469505346e-11,holm,8.663e+09,-0.869403082751107
45,map_name,400,450,True,True,0.6915283402165541,34.0,two-sided,0.4939288672852675,1.0,holm,0.226,0.02195448391622711
46,map_name,400,50,True,True,-12.431000192521992,34.0,two-sided,3.367108768336926e-14,1.5825411211183553e-12,holm,2.099e+11,-1.1775196693356977
47,map_name,400,500,True,True,5.715201108670874,34.0,two-sided,2.0191202603173037e-06,7.268832937142294e-05,holm,9031.816,0.2093623888574237
48,map_name,400,MRI Width,True,True,-9.355732409792846,34.0,two-sided,6.240751795222666e-11,2.558708236041293e-09,holm,1.585e+08,-0.8015165320745486
49,map_name,450,50,True,True,-12.082041380462334,34.0,two-sided,7.450934494677078e-14,3.3529205226046854e-12,holm,9.805e+10,-1.1917095251506196
50,map_name,450,500,True,True,5.060202556175228,34.0,two-sided,1.4352237885340328e-05,0.0004449193744455502,holm,1477.607,0.18715529358680177
51,map_name,450,MRI Width,True,True,-9.16169532410431,34.0,two-sided,1.0452110323735892e-10,4.180844129494357e-09,holm,9.71e+07,-0.8179656798077657
52,map_name,50,500,True,True,13.374845178715844,34.0,two-sided,4.218440371763621e-15,2.024851378446538e-13,holm,1.541e+12,1.3316977278676263
53,map_name,50,MRI Width,True,True,18.809345886839836,34.0,two-sided,1.5161838269577485e-19,8.339011048267617e-18,holm,2.937e+16,0.3594632001242683
54,map_name,500,MRI Width,True,True,-10.616552435330068,34.0,two-sided,2.46576895313582e-12,1.0356229603170445e-10,holm,3.448e+09,-0.9711732650610498
