hist_name,map_name,mi,mri_key,no_reg_mi
23T-1,cell_count_100,-0.39880403907493517,mri_2,-0.12525220719635438
23T-1,cell_count_150,-0.46431731272884746,mri_2,-0.13927984757402462
23T-1,cell_count_200,-0.41694791263869896,mri_2,-0.13174700415766077
23T-1,cell_count_250,-0.42241673172847,mri_2,-0.13595507794910627
23T-1,cell_count_300,-0.4194901330845009,mri_2,-0.13102399204390788
23T-1,cell_count_350,-0.4240456657190448,mri_2,-0.1347970633699441
23T-1,cell_count_400,-0.39760905582136735,mri_2,-0.12607745006160934
23T-1,cell_count_450,-0.3957927006263778,mri_2,-0.12539161526174392
23T-1,cell_count_50,-0.33611252387208446,mri_2,-0.1117445311677278
23T-1,cell_count_500,-0.4238994621238808,mri_2,-0.1397072703907442
23T-2,cell_count_100,-0.36780670684816963,mri_2,-0.08032192647112214
23T-2,cell_count_150,-0.4660152202822085,mri_2,-0.09147323583467101
23T-2,cell_count_200,-0.403444299175505,mri_2,-0.08661013332429991
23T-2,cell_count_250,-0.407979995472597,mri_2,-0.08703299859797158
23T-2,cell_count_300,-0.4147821380525148,mri_2,-0.09069180941692324
23T-2,cell_count_350,-0.41199515582290924,mri_2,-0.08535518315140543
23T-2,cell_count_400,-0.40820460580532514,mri_2,-0.08332680527136853
23T-2,cell_count_450,-0.3892382952828005,mri_2,-0.08343882394028375
23T-2,cell_count_50,-0.3025619054574874,mri_2,-0.06931616010564008
23T-2,cell_count_500,-0.41504499379374843,mri_2,-0.08550025343279774
23T-3,cell_count_100,-0.4170513877567596,mri_2,-0.1432483274285387
23T-3,cell_count_150,-0.46592274383671484,mri_2,-0.1492077104959709
23T-3,cell_count_200,-0.44817760686211466,mri_2,-0.153052289881969
23T-3,cell_count_250,-0.4412284264919628,mri_2,-0.1524144879710579
23T-3,cell_count_300,-0.44562561676499984,mri_2,-0.15173229174415553
23T-3,cell_count_350,-0.4347330854273389,mri_2,-0.14998375443321477
23T-3,cell_count_400,-0.4474061554446,mri_2,-0.15501337026641723
23T-3,cell_count_450,-0.4211107824493871,mri_2,-0.1448564181206189
23T-3,cell_count_50,-0.3665798406768578,mri_2,-0.1307463021783955
23T-3,cell_count_500,-0.4272417245141085,mri_2,-0.151479522475662
23T-4,cell_count_100,-0.39272124947137066,mri_2,-0.13598641770180223
23T-4,cell_count_150,-0.45409858329307745,mri_2,-0.1452916027192569
23T-4,cell_count_200,-0.4275024797625445,mri_2,-0.14560614315687712
23T-4,cell_count_250,-0.4237464736726105,mri_2,-0.14682972508949632
23T-4,cell_count_300,-0.42113235891847933,mri_2,-0.1438737629874985
23T-4,cell_count_350,-0.42831028654240627,mri_2,-0.14873660812310766
23T-4,cell_count_400,-0.41956993732723147,mri_2,-0.1458841429823716
23T-4,cell_count_450,-0.4202433935861515,mri_2,-0.14770484804793105
23T-4,cell_count_50,-0.34912112177084714,mri_2,-0.12450612635687619
23T-4,cell_count_500,-0.4254613297278583,mri_2,-0.15259967620436302
23T-5,cell_count_100,-0.3853476423500037,mri_2,-0.13608695937339976
23T-5,cell_count_150,-0.45242643237789565,mri_2,-0.14050848308077243
23T-5,cell_count_200,-0.40945389067836935,mri_2,-0.14469145031247582
23T-5,cell_count_250,-0.4133664271953351,mri_2,-0.14470018945586285
23T-5,cell_count_300,-0.40174607439631654,mri_2,-0.13712268547630882
23T-5,cell_count_350,-0.4097688677539355,mri_2,-0.13862003017469066
23T-5,cell_count_400,-0.4306408221987442,mri_2,-0.14854866209234371
23T-5,cell_count_450,-0.3956618700564406,mri_2,-0.1280618290752891
23T-5,cell_count_50,-0.3211467719898959,mri_2,-0.11990006398448823
23T-5,cell_count_500,-0.43250036398329683,mri_2,-0.14618737951276362
