hist_name,map_name,mi,mri_key,no_reg_mi
23X-1,cell_count_100,-0.35422950288959754,mri_1,-0.13577292078795195
23X-1,cell_count_150,-0.4633046205753547,mri_1,-0.16767137253675907
23X-1,cell_count_200,-0.40630410159999686,mri_1,-0.14519364958206496
23X-1,cell_count_250,-0.41291597013582587,mri_1,-0.15066203648974183
23X-1,cell_count_300,-0.4110114950568793,mri_1,-0.14017859544750566
23X-1,cell_count_350,-0.42535134593915014,mri_1,-0.1419677734758875
23X-1,cell_count_400,-0.40650709958851966,mri_1,-0.13942500509631356
23X-1,cell_count_450,-0.3942662659581445,mri_1,-0.1326297398198315
23X-1,cell_count_50,-0.2744980807127043,mri_1,-0.11321308748452702
23X-1,cell_count_500,-0.4193895324190168,mri_1,-0.14996463650782824
23X-2,cell_count_100,-0.2724064184136592,mri_1,-0.1419969894928716
23X-2,cell_count_150,-0.4640900146858527,mri_1,-0.18816148588581555
23X-2,cell_count_200,-0.32603182767076466,mri_1,-0.17110555695305407
23X-2,cell_count_250,-0.3298100856958391,mri_1,-0.1762849865274872
23X-2,cell_count_300,-0.34082817748144095,mri_1,-0.18340177661559115
23X-2,cell_count_350,-0.35272376111421805,mri_1,-0.19113997164127292
23X-2,cell_count_400,-0.3480529932882836,mri_1,-0.1884179526147119
23X-2,cell_count_450,-0.3828983857353248,mri_1,-0.19774142246262627
23X-2,cell_count_50,-0.21863527084355022,mri_1,-0.1155456823932394
23X-2,cell_count_500,-0.4058517152020198,mri_1,-0.1966308840701789
23X-3,cell_count_100,-0.21237503871282415,mri_1,-0.018050836983580905
23X-3,cell_count_150,-0.26601922179211807,mri_1,-0.024105436071945978
23X-3,cell_count_200,-0.23863142172961463,mri_1,-0.01971784703729031
23X-3,cell_count_250,-0.2443349040849507,mri_1,-0.02009353770395236
23X-3,cell_count_300,-0.2426501780284293,mri_1,-0.019469436193572817
23X-3,cell_count_350,-0.23365310614191992,mri_1,-0.01759468279168749
23X-3,cell_count_400,-0.24576545370778613,mri_1,-0.01933981774094502
23X-3,cell_count_450,-0.24490737405056698,mri_1,-0.019256931709893694
23X-3,cell_count_50,-0.18553402952522738,mri_1,-0.016539900158009727
23X-3,cell_count_500,-0.2396860469470652,mri_1,-0.018711338598576037
23X-4,cell_count_100,-0.28592983222655133,mri_1,-0.12254823708241191
23X-4,cell_count_150,-0.4736669510571353,mri_1,-0.15760497848055566
23X-4,cell_count_200,-0.3578456487162234,mri_1,-0.1403056672020623
23X-4,cell_count_250,-0.376909850331568,mri_1,-0.14736104340461814
23X-4,cell_count_300,-0.3658136288938404,mri_1,-0.1395913767409547
23X-4,cell_count_350,-0.3896487182116154,mri_1,-0.14218124089535436
23X-4,cell_count_400,-0.3868215498235809,mri_1,-0.1396650715029571
23X-4,cell_count_450,-0.3688418132492122,mri_1,-0.13142532437818052
23X-4,cell_count_50,-0.229239387644297,mri_1,-0.1021393912710039
23X-4,cell_count_500,-0.4020079211806478,mri_1,-0.14769913969443657
23X-5,cell_count_100,-0.2868787903163048,mri_1,-0.09426133962276809
23X-5,cell_count_150,-0.45088341624183054,mri_1,-0.1371182410337983
23X-5,cell_count_200,-0.3257231472996991,mri_1,-0.10313560647986576
23X-5,cell_count_250,-0.33881232332554995,mri_1,-0.10869911439888637
23X-5,cell_count_300,-0.3330577236969465,mri_1,-0.10731035373656803
23X-5,cell_count_350,-0.34732528273354213,mri_1,-0.11093653743374131
23X-5,cell_count_400,-0.34214034362141477,mri_1,-0.10713420619166357
23X-5,cell_count_450,-0.37266721153620896,mri_1,-0.11694139942788875
23X-5,cell_count_50,-0.22508624212686623,mri_1,-0.07752398762260106
23X-5,cell_count_500,-0.35351652958875274,mri_1,-0.11375753957223973
