hist_name,map_name,mi,mri_key,no_reg_mi
23Y-1,cell_count_100,-0.2848979140191405,mri_1,-0.08211106592309117
23Y-1,cell_count_150,-0.4738726260028955,mri_1,-0.10482078288959731
23Y-1,cell_count_200,-0.4679586260352301,mri_1,-0.09861237609678601
23Y-1,cell_count_250,-0.46141768473440675,mri_1,-0.10060338164736335
23Y-1,cell_count_300,-0.4565414528266407,mri_1,-0.09814486173281166
23Y-1,cell_count_350,-0.44486146895529044,mri_1,-0.09799424161772136
23Y-1,cell_count_400,-0.4354042786524195,mri_1,-0.0974395732338074
23Y-1,cell_count_450,-0.4505662557297318,mri_1,-0.09860239326220467
23Y-1,cell_count_50,-0.42144437312102345,mri_1,-0.08907891676360881
23Y-1,cell_count_500,-0.4652829200638816,mri_1,-0.10396950285624834
23Y-2,cell_count_100,-0.31860723334605834,mri_1,-0.07146387462401009
23Y-2,cell_count_150,-0.4753373346233653,mri_1,-0.08546941411020952
23Y-2,cell_count_200,-0.470566204649436,mri_1,-0.08119277379369697
23Y-2,cell_count_250,-0.4713634859115885,mri_1,-0.08884149500447604
23Y-2,cell_count_300,-0.4546648671562636,mri_1,-0.07790947396772585
23Y-2,cell_count_350,-0.4619992783200908,mri_1,-0.08211516889469192
23Y-2,cell_count_400,-0.44496344704863006,mri_1,-0.07846854440338484
23Y-2,cell_count_450,-0.44950009891017606,mri_1,-0.08357169989635568
23Y-2,cell_count_50,-0.4237158200473412,mri_1,-0.07301851719226966
23Y-2,cell_count_500,-0.4692931875461789,mri_1,-0.08941634217016871
23Y-3,cell_count_100,-0.3012566129880384,mri_1,-0.08472137350115369
23Y-3,cell_count_150,-0.460338732771947,mri_1,-0.1022241984392143
23Y-3,cell_count_200,-0.3751990065919306,mri_1,-0.1029138599117426
23Y-3,cell_count_250,-0.3856872445097289,mri_1,-0.10423453409515936
23Y-3,cell_count_300,-0.37296088401698163,mri_1,-0.09659760329010668
23Y-3,cell_count_350,-0.3886937536829221,mri_1,-0.09875029211687293
23Y-3,cell_count_400,-0.370694173512381,mri_1,-0.0924360605610232
23Y-3,cell_count_450,-0.3752773801087857,mri_1,-0.09483466950383145
23Y-3,cell_count_50,-0.2758694563539199,mri_1,-0.07769560757540196
23Y-3,cell_count_500,-0.38332722232314675,mri_1,-0.10454418320480971
23Y-4,cell_count_100,-0.20634186545103875,mri_1,-0.008444749642028421
23Y-4,cell_count_150,-0.2519842062951625,mri_1,-0.01075449965814799
23Y-4,cell_count_200,-0.23545406596588167,mri_1,-0.009996932969512293
23Y-4,cell_count_250,-0.2398462112031695,mri_1,-0.010020831056274744
23Y-4,cell_count_300,-0.23837528338711136,mri_1,-0.010195206896849779
23Y-4,cell_count_350,-0.23744411536218127,mri_1,-0.010496606041249227
23Y-4,cell_count_400,-0.2350382426890598,mri_1,-0.010293378280723022
23Y-4,cell_count_450,-0.24081953168035725,mri_1,-0.010305204339433981
23Y-4,cell_count_50,-0.1934268829705714,mri_1,-0.008128462341827986
23Y-4,cell_count_500,-0.23911914959396816,mri_1,-0.010191116260561003
23Y-5,cell_count_100,-0.33183323490787736,mri_1,-0.11332373435225984
23Y-5,cell_count_150,-0.45195247969971614,mri_1,-0.12790310511919503
23Y-5,cell_count_200,-0.40236729923078096,mri_1,-0.12914020155624
23Y-5,cell_count_250,-0.4015119071569122,mri_1,-0.1309942493722687
23Y-5,cell_count_300,-0.4037535643426039,mri_1,-0.13119141690609437
23Y-5,cell_count_350,-0.38681590542044814,mri_1,-0.1285418444737942
23Y-5,cell_count_400,-0.38197401648432955,mri_1,-0.1283039292710198
23Y-5,cell_count_450,-0.3855950615826234,mri_1,-0.12365162628557817
23Y-5,cell_count_50,-0.3052927903428415,mri_1,-0.10109370217487244
23Y-5,cell_count_500,-0.427549914469034,mri_1,-0.1365481724813975
