hist_name,map_name,mi,mri_key,no_reg_mi
23S-1,cell_count_100,-0.399750381268739,mri_1,-0.15673482263206606
23S-1,cell_count_150,-0.44563019778125085,mri_1,-0.16818793836948456
23S-1,cell_count_200,-0.4306765841897614,mri_1,-0.16596905891890923
23S-1,cell_count_250,-0.43242643524088475,mri_1,-0.16393843286886162
23S-1,cell_count_300,-0.42532877688265325,mri_1,-0.16808096528476726
23S-1,cell_count_350,-0.42360454727815844,mri_1,-0.1634620882619235
23S-1,cell_count_400,-0.41128780646186525,mri_1,-0.16698171409328455
23S-1,cell_count_450,-0.4084651414583154,mri_1,-0.15969044632494375
23S-1,cell_count_50,-0.34831627841362417,mri_1,-0.14068728201156055
23S-1,cell_count_500,-0.43251990242437366,mri_1,-0.16758960040852652
23S-2,cell_count_100,-0.3961175386321137,mri_1,-0.1102556282558105
23S-2,cell_count_150,-0.4395992169678008,mri_1,-0.12048094456541657
23S-2,cell_count_200,-0.4187279624619527,mri_1,-0.1153502611380966
23S-2,cell_count_250,-0.4137344433475343,mri_1,-0.11818046436947832
23S-2,cell_count_300,-0.4099006392367326,mri_1,-0.11711670770229603
23S-2,cell_count_350,-0.409938827643578,mri_1,-0.11784664186475474
23S-2,cell_count_400,-0.4032489288987252,mri_1,-0.1132581523941286
23S-2,cell_count_450,-0.4046677023017599,mri_1,-0.11522880373876426
23S-2,cell_count_50,-0.33326901862662534,mri_1,-0.09600197842409466
23S-2,cell_count_500,-0.41928346075713585,mri_1,-0.11906054689081591
23S-3,cell_count_100,-0.3984757086460664,mri_1,-0.12973877639380432
23S-3,cell_count_150,-0.44020240350492484,mri_1,-0.14096916832225728
23S-3,cell_count_200,-0.42502258767628337,mri_1,-0.1413591667868572
23S-3,cell_count_250,-0.4277418487612659,mri_1,-0.14405465473609952
23S-3,cell_count_300,-0.4242396117234091,mri_1,-0.13954524267270385
23S-3,cell_count_350,-0.42944066590508745,mri_1,-0.14871740462396726
23S-3,cell_count_400,-0.4050060216678644,mri_1,-0.13663213911830294
23S-3,cell_count_450,-0.40732875921874667,mri_1,-0.1351792302063207
23S-3,cell_count_50,-0.3398779178439092,mri_1,-0.11498627699520977
23S-3,cell_count_500,-0.42620672645709307,mri_1,-0.14921891220115058
23S-3,cell_count_100,-0.3889143972157268,mri_2,-0.12035794075079571
23S-3,cell_count_150,-0.43011452734446115,mri_2,-0.13171204494011596
23S-3,cell_count_200,-0.4161676255740488,mri_2,-0.13100589845874525
23S-3,cell_count_250,-0.41827944494023583,mri_2,-0.13368793846436394
23S-3,cell_count_300,-0.41573821436694064,mri_2,-0.13027882225200182
23S-3,cell_count_350,-0.4205627097604211,mri_2,-0.13980968541318725
23S-3,cell_count_400,-0.39661061177809015,mri_2,-0.1279494848377973
23S-3,cell_count_450,-0.3986682526737827,mri_2,-0.12579680453881525
23S-3,cell_count_50,-0.33411316999864116,mri_2,-0.10580641488030451
23S-3,cell_count_500,-0.4158314053140709,mri_2,-0.13841637809247584
23S-4,cell_count_100,-0.36818484131131074,mri_2,-0.1001559424801207
23S-4,cell_count_150,-0.4107697088385784,mri_2,-0.10994953162173907
23S-4,cell_count_200,-0.3956595346369291,mri_2,-0.10902740648485731
23S-4,cell_count_250,-0.39667397290559997,mri_2,-0.11176189028863721
23S-4,cell_count_300,-0.3915271548459335,mri_2,-0.10922480806671019
23S-4,cell_count_350,-0.3928694122032613,mri_2,-0.11030457627201913
23S-4,cell_count_400,-0.38415009554844515,mri_2,-0.10904338482432191
23S-4,cell_count_450,-0.3748821541173126,mri_2,-0.10717324783124456
23S-4,cell_count_50,-0.3201409123506868,mri_2,-0.08854100473669793
23S-4,cell_count_500,-0.3944852260467425,mri_2,-0.11996546214621313
23S-5,cell_count_100,-0.38502947200635174,mri_2,-0.11674977233885693
23S-5,cell_count_150,-0.4177234933647179,mri_2,-0.12043499666214301
23S-5,cell_count_200,-0.4024218645688556,mri_2,-0.12058750432065768
23S-5,cell_count_250,-0.41299687318611544,mri_2,-0.1270087740274591
23S-5,cell_count_300,-0.38831190452085373,mri_2,-0.11524761344469239
23S-5,cell_count_350,-0.40671463801586255,mri_2,-0.12872461038302405
23S-5,cell_count_400,-0.39248893290096515,mri_2,-0.117154641199728
23S-5,cell_count_450,-0.4230688615778136,mri_2,-0.13273396973232063
23S-5,cell_count_50,-0.34136848558246297,mri_2,-0.10569799212270582
23S-5,cell_count_500,-0.4007457942626276,mri_2,-0.12738073742215394
