hist_name,map_name,mi,mri_key,no_reg_mi
23T-1,cell_count_100,-0.324114703259104,mri_1,-0.08513522550206117
23T-1,cell_count_150,-0.37275287960087067,mri_1,-0.09995573608381761
23T-1,cell_count_200,-0.337413593845914,mri_1,-0.08693198529601856
23T-1,cell_count_250,-0.34133345722242975,mri_1,-0.09067747116732645
23T-1,cell_count_300,-0.34511406756131374,mri_1,-0.08419549751099449
23T-1,cell_count_350,-0.3432916751974426,mri_1,-0.08589514172150618
23T-1,cell_count_400,-0.32273885950787745,mri_1,-0.0796292912044609
23T-1,cell_count_450,-0.3149095122482193,mri_1,-0.07581155322136864
23T-1,cell_count_50,-0.2691898847126252,mri_1,-0.07689481496442532
23T-1,cell_count_500,-0.33907052289788997,mri_1,-0.0928259632646271
23T-2,cell_count_100,-0.28694929463102203,mri_1,-0.042350841924553635
23T-2,cell_count_150,-0.3600655730393321,mri_1,-0.048188155376377106
23T-2,cell_count_200,-0.31719275946458847,mri_1,-0.046625847127333524
23T-2,cell_count_250,-0.31939676681625495,mri_1,-0.04617881719590039
23T-2,cell_count_300,-0.3231717246173263,mri_1,-0.048596019240057346
23T-2,cell_count_350,-0.32467540395407973,mri_1,-0.04573585115432833
23T-2,cell_count_400,-0.3219041357164545,mri_1,-0.042613005231349046
23T-2,cell_count_450,-0.30231812281671655,mri_1,-0.04276483448833101
23T-2,cell_count_50,-0.2411720325639151,mri_1,-0.03952250099937223
23T-2,cell_count_500,-0.32700094952359027,mri_1,-0.04529728265159306
23T-3,cell_count_100,-0.3316473124614292,mri_1,-0.08994976279711767
23T-3,cell_count_150,-0.37215694782847447,mri_1,-0.10023438003038727
23T-3,cell_count_200,-0.3596791815778612,mri_1,-0.09771657565964213
23T-3,cell_count_250,-0.3533922397527728,mri_1,-0.098160719103935
23T-3,cell_count_300,-0.35663360307033903,mri_1,-0.09772715289097428
23T-3,cell_count_350,-0.3449933789028528,mri_1,-0.09624835450603193
23T-3,cell_count_400,-0.3599016852343383,mri_1,-0.09807040089110582
23T-3,cell_count_450,-0.3377746001089154,mri_1,-0.09065371558317535
23T-3,cell_count_50,-0.2923130938116347,mri_1,-0.08337325019503507
23T-3,cell_count_500,-0.3427601360373974,mri_1,-0.09435838338138475
23T-3,cell_count_100,-0.4170513877567596,mri_2,-0.1432483274285387
23T-3,cell_count_150,-0.46592274383671484,mri_2,-0.1492077104959709
23T-3,cell_count_200,-0.44817760686211466,mri_2,-0.153052289881969
23T-3,cell_count_250,-0.4412284264919628,mri_2,-0.1524144879710579
23T-3,cell_count_300,-0.44562561676499984,mri_2,-0.15173229174415553
23T-3,cell_count_350,-0.4347330854273389,mri_2,-0.14998375443321477
23T-3,cell_count_400,-0.4474061554446,mri_2,-0.15501337026641723
23T-3,cell_count_450,-0.4211107824493871,mri_2,-0.1448564181206189
23T-3,cell_count_50,-0.3665798406768578,mri_2,-0.1307463021783955
23T-3,cell_count_500,-0.4272417245141085,mri_2,-0.151479522475662
23T-4,cell_count_100,-0.39272124947137066,mri_2,-0.13598641770180223
23T-4,cell_count_150,-0.45409858329307745,mri_2,-0.1452916027192569
23T-4,cell_count_200,-0.4275024797625445,mri_2,-0.14560614315687712
23T-4,cell_count_250,-0.4237464736726105,mri_2,-0.14682972508949632
23T-4,cell_count_300,-0.42113235891847933,mri_2,-0.1438737629874985
23T-4,cell_count_350,-0.42831028654240627,mri_2,-0.14873660812310766
23T-4,cell_count_400,-0.41956993732723147,mri_2,-0.1458841429823716
23T-4,cell_count_450,-0.4202433935861515,mri_2,-0.14770484804793105
23T-4,cell_count_50,-0.34912112177084714,mri_2,-0.12450612635687619
23T-4,cell_count_500,-0.4254613297278583,mri_2,-0.15259967620436302
23T-5,cell_count_100,-0.3853476423500037,mri_2,-0.13608695937339976
23T-5,cell_count_150,-0.45242643237789565,mri_2,-0.14050848308077243
23T-5,cell_count_200,-0.40945389067836935,mri_2,-0.14469145031247582
23T-5,cell_count_250,-0.4133664271953351,mri_2,-0.14470018945586285
23T-5,cell_count_300,-0.40174607439631654,mri_2,-0.13712268547630882
23T-5,cell_count_350,-0.4097688677539355,mri_2,-0.13862003017469066
23T-5,cell_count_400,-0.4306408221987442,mri_2,-0.14854866209234371
23T-5,cell_count_450,-0.3956618700564406,mri_2,-0.1280618290752891
23T-5,cell_count_50,-0.3211467719898959,mri_2,-0.11990006398448823
23T-5,cell_count_500,-0.43250036398329683,mri_2,-0.14618737951276362
