hist_name,map_name,mi,mri_key,no_reg_mi
23Y-1,cell_count_100,-0.2848979140191405,mri_1,-0.08211106592309117
23Y-1,cell_count_150,-0.4738726260028955,mri_1,-0.10482078288959731
23Y-1,cell_count_200,-0.4679586260352301,mri_1,-0.09861237609678601
23Y-1,cell_count_250,-0.46141768473440675,mri_1,-0.10060338164736335
23Y-1,cell_count_300,-0.4565414528266407,mri_1,-0.09814486173281166
23Y-1,cell_count_350,-0.44486146895529044,mri_1,-0.09799424161772136
23Y-1,cell_count_400,-0.4354042786524195,mri_1,-0.0974395732338074
23Y-1,cell_count_450,-0.4505662557297318,mri_1,-0.09860239326220467
23Y-1,cell_count_50,-0.42144437312102345,mri_1,-0.08907891676360881
23Y-1,cell_count_500,-0.4652829200638816,mri_1,-0.10396950285624834
23Y-2,cell_count_100,-0.31860723334605834,mri_1,-0.07146387462401009
23Y-2,cell_count_150,-0.4753373346233653,mri_1,-0.08546941411020952
23Y-2,cell_count_200,-0.470566204649436,mri_1,-0.08119277379369697
23Y-2,cell_count_250,-0.4713634859115885,mri_1,-0.08884149500447604
23Y-2,cell_count_300,-0.4546648671562636,mri_1,-0.07790947396772585
23Y-2,cell_count_350,-0.4619992783200908,mri_1,-0.08211516889469192
23Y-2,cell_count_400,-0.44496344704863006,mri_1,-0.07846854440338484
23Y-2,cell_count_450,-0.44950009891017606,mri_1,-0.08357169989635568
23Y-2,cell_count_50,-0.4237158200473412,mri_1,-0.07301851719226966
23Y-2,cell_count_500,-0.4692931875461789,mri_1,-0.08941634217016871
23Y-3,cell_count_100,-0.3012566129880384,mri_1,-0.08472137350115369
23Y-3,cell_count_150,-0.460338732771947,mri_1,-0.1022241984392143
23Y-3,cell_count_200,-0.3751990065919306,mri_1,-0.1029138599117426
23Y-3,cell_count_250,-0.3856872445097289,mri_1,-0.10423453409515936
23Y-3,cell_count_300,-0.37296088401698163,mri_1,-0.09659760329010668
23Y-3,cell_count_350,-0.3886937536829221,mri_1,-0.09875029211687293
23Y-3,cell_count_400,-0.370694173512381,mri_1,-0.0924360605610232
23Y-3,cell_count_450,-0.3752773801087857,mri_1,-0.09483466950383145
23Y-3,cell_count_50,-0.2758694563539199,mri_1,-0.07769560757540196
23Y-3,cell_count_500,-0.38332722232314675,mri_1,-0.10454418320480971
23Y-3,cell_count_100,-0.3018003016147118,mri_2,-0.08795961274368395
23Y-3,cell_count_150,-0.4506058394513979,mri_2,-0.10647417825622678
23Y-3,cell_count_200,-0.37336259928623816,mri_2,-0.10655706710698715
23Y-3,cell_count_250,-0.3852462388730847,mri_2,-0.10825472037578
23Y-3,cell_count_300,-0.3732893130217665,mri_2,-0.10196334006504534
23Y-3,cell_count_350,-0.3867713323263496,mri_2,-0.10287691365740417
23Y-3,cell_count_400,-0.3673244468301352,mri_2,-0.09653378024473067
23Y-3,cell_count_450,-0.3727057649578344,mri_2,-0.09842301979182813
23Y-3,cell_count_50,-0.27434376240171476,mri_2,-0.0805741422127276
23Y-3,cell_count_500,-0.3802644806722462,mri_2,-0.1088896594519747
23Y-4,cell_count_100,-0.18914079399701433,mri_2,-0.008587401875828408
23Y-4,cell_count_150,-0.23695346624117594,mri_2,-0.010587326917414465
23Y-4,cell_count_200,-0.21522362194234812,mri_2,-0.010018747488114214
23Y-4,cell_count_250,-0.21833085925953846,mri_2,-0.010028108133977675
23Y-4,cell_count_300,-0.22072620782479385,mri_2,-0.010259643990905036
23Y-4,cell_count_350,-0.22320776182241436,mri_2,-0.010550351899082409
23Y-4,cell_count_400,-0.21957785653818698,mri_2,-0.010234982879564697
23Y-4,cell_count_450,-0.22379526927385793,mri_2,-0.010203658065205614
23Y-4,cell_count_50,-0.17993606500778117,mri_2,-0.00821406311341596
23Y-4,cell_count_500,-0.2230389227290662,mri_2,-0.01022603761581614
23Y-5,cell_count_100,-0.32926254301813834,mri_2,-0.1161086777446883
23Y-5,cell_count_150,-0.4600815190854207,mri_2,-0.1323654532400574
23Y-5,cell_count_200,-0.40224225676831926,mri_2,-0.13303884145819173
23Y-5,cell_count_250,-0.40539406710738285,mri_2,-0.13488663226780237
23Y-5,cell_count_300,-0.4049002810517965,mri_2,-0.13587824886777788
23Y-5,cell_count_350,-0.39630275993889924,mri_2,-0.13229250061487924
23Y-5,cell_count_400,-0.38454597202735297,mri_2,-0.13281968685286005
23Y-5,cell_count_450,-0.39304948359801983,mri_2,-0.1300887913792248
23Y-5,cell_count_50,-0.29972425183388623,mri_2,-0.10363955107542536
23Y-5,cell_count_500,-0.4212833088369281,mri_2,-0.1426301543001766
