mi,max_slice,mri_key,animal_id,map_name
-0.31529306917699856,1,mri_1,23T,cell_count_100
-0.3262303560447351,2,mri_1,23T,cell_count_100
-0.3484105905843636,3,mri_1,23T,cell_count_100
-0.38353567608274625,1,mri_2,23T,cell_count_100
-0.39266777535523206,2,mri_2,23T,cell_count_100
-0.39535762048724904,3,mri_2,23T,cell_count_100
-0.3237433587620329,1,mri_1,23T,cell_count_150
-0.3339554969822751,2,mri_1,23T,cell_count_150
-0.3545008519518919,3,mri_1,23T,cell_count_150
-0.39205889028267166,1,mri_2,23T,cell_count_150
-0.3930872031349983,2,mri_2,23T,cell_count_150
-0.3941467607290138,3,mri_2,23T,cell_count_150
-0.32709537678231276,1,mri_1,23T,cell_count_200
-0.3390153018369444,2,mri_1,23T,cell_count_200
-0.3593608188014113,3,mri_1,23T,cell_count_200
-0.4082704420306034,1,mri_2,23T,cell_count_200
-0.40172794758992286,2,mri_2,23T,cell_count_200
-0.39920390006277084,3,mri_2,23T,cell_count_200
-0.33079006946688594,1,mri_1,23T,cell_count_250
-0.3383538604565295,2,mri_1,23T,cell_count_250
-0.35849795996923817,3,mri_1,23T,cell_count_250
-0.3954440366112701,1,mri_2,23T,cell_count_250
-0.39170803711255675,2,mri_2,23T,cell_count_250
-0.38845117331392537,3,mri_2,23T,cell_count_250
-0.3375515013115045,1,mri_1,23T,cell_count_300
-0.34292316241780496,2,mri_1,23T,cell_count_300
-0.36152743118767927,3,mri_1,23T,cell_count_300
-0.39845303335181026,1,mri_2,23T,cell_count_300
-0.39389328859938705,2,mri_2,23T,cell_count_300
-0.38856245088246216,3,mri_2,23T,cell_count_300
-0.34293658148139056,1,mri_1,23T,cell_count_350
-0.3465817639848631,2,mri_1,23T,cell_count_350
-0.35675714723976604,3,mri_1,23T,cell_count_350
-0.3886795418134876,1,mri_2,23T,cell_count_350
-0.38548485803475835,2,mri_2,23T,cell_count_350
-0.38552057848941695,3,mri_2,23T,cell_count_350
-0.31865007928980654,1,mri_1,23T,cell_count_400
-0.33798763552487804,2,mri_1,23T,cell_count_400
-0.359533344390457,3,mri_1,23T,cell_count_400
-0.40379992537772624,1,mri_2,23T,cell_count_400
-0.388566855506882,2,mri_2,23T,cell_count_400
-0.3940173919438663,3,mri_2,23T,cell_count_400
-0.3125403893646632,1,mri_1,23T,cell_count_450
-0.3227636842775749,2,mri_1,23T,cell_count_450
-0.3440506548522045,3,mri_1,23T,cell_count_450
-0.37668205659588067,1,mri_2,23T,cell_count_450
-0.37632837470053354,2,mri_2,23T,cell_count_450
-0.3803792314802684,3,mri_2,23T,cell_count_450
-0.26192772498504235,1,mri_1,23T,cell_count_50
-0.3018278530141196,2,mri_1,23T,cell_count_50
-0.32055977309438216,3,mri_1,23T,cell_count_50
-0.3372275114918283,1,mri_2,23T,cell_count_50
-0.3614681857795224,2,mri_2,23T,cell_count_50
-0.38423494833150956,3,mri_2,23T,cell_count_50
-0.32747344795940436,1,mri_1,23T,cell_count_500
-0.34644418536521754,2,mri_1,23T,cell_count_500
-0.3583365720328039,3,mri_1,23T,cell_count_500
-0.3803391670967482,1,mri_2,23T,cell_count_500
-0.38680540748271086,2,mri_2,23T,cell_count_500
-0.3907717700309439,3,mri_2,23T,cell_count_500
-0.27897376614509256,1,mri_1,23T,cell_count_mri_width
-0.3180257154063034,2,mri_1,23T,cell_count_mri_width
-0.3402167732534168,3,mri_1,23T,cell_count_mri_width
-0.3749548628100576,1,mri_2,23T,cell_count_mri_width
-0.38797296668358816,2,mri_2,23T,cell_count_mri_width
-0.3960265154974249,3,mri_2,23T,cell_count_mri_width
