mi,max_slice,mri_key,animal_id,map_name
-0.39002247572259274,1,mri_1,23X,cell_count_100
-0.37789788378156747,2,mri_1,23X,cell_count_100
-0.3922185356807344,3,mri_1,23X,cell_count_100
-0.31382417601478424,1,mri_2,23X,cell_count_100
-0.3618068102277105,2,mri_2,23X,cell_count_100
-0.32258147178039875,3,mri_2,23X,cell_count_100
-0.41652070239662636,1,mri_1,23X,cell_count_150
-0.4168601565276142,2,mri_1,23X,cell_count_150
-0.4210408646678868,3,mri_1,23X,cell_count_150
-0.3505178261654734,1,mri_2,23X,cell_count_150
-0.38424204735895423,2,mri_2,23X,cell_count_150
-0.34416678976046955,3,mri_2,23X,cell_count_150
-0.4231590233983887,1,mri_1,23X,cell_count_200
-0.42004830689100137,2,mri_1,23X,cell_count_200
-0.41951988634477877,3,mri_1,23X,cell_count_200
-0.3661154773668678,1,mri_2,23X,cell_count_200
-0.39786635120604485,2,mri_2,23X,cell_count_200
-0.364568814477881,3,mri_2,23X,cell_count_200
-0.43050692198460017,1,mri_1,23X,cell_count_250
-0.4113542889577395,2,mri_1,23X,cell_count_250
-0.4163865464269109,3,mri_1,23X,cell_count_250
-0.37730803534506496,1,mri_2,23X,cell_count_250
-0.4052251171242861,2,mri_2,23X,cell_count_250
-0.37243867923193186,3,mri_2,23X,cell_count_250
-0.4235367597060091,1,mri_1,23X,cell_count_300
-0.4175508498988341,2,mri_1,23X,cell_count_300
-0.41884770036924845,3,mri_1,23X,cell_count_300
-0.3707626777473919,1,mri_2,23X,cell_count_300
-0.3946366216573942,2,mri_2,23X,cell_count_300
-0.3626232037669616,3,mri_2,23X,cell_count_300
-0.4341280070470105,1,mri_1,23X,cell_count_350
-0.4331641203657511,2,mri_1,23X,cell_count_350
-0.4311211090707213,3,mri_1,23X,cell_count_350
-0.3543224653687544,1,mri_2,23X,cell_count_350
-0.3978424155022598,2,mri_2,23X,cell_count_350
-0.3706321250904633,3,mri_2,23X,cell_count_350
-0.4217213944679492,1,mri_1,23X,cell_count_400
-0.4211104269529474,2,mri_1,23X,cell_count_400
-0.4193806612054067,3,mri_1,23X,cell_count_400
-0.36816126506916175,1,mri_2,23X,cell_count_400
-0.40530805477458876,2,mri_2,23X,cell_count_400
-0.3662150536271362,3,mri_2,23X,cell_count_400
-0.405540982569785,1,mri_1,23X,cell_count_450
-0.4131740059076554,2,mri_1,23X,cell_count_450
-0.413143121265009,3,mri_1,23X,cell_count_450
-0.3639245210452668,1,mri_2,23X,cell_count_450
-0.3833947914877535,2,mri_2,23X,cell_count_450
-0.36416088690597664,3,mri_2,23X,cell_count_450
-0.27589568985143353,1,mri_1,23X,cell_count_50
-0.31370131104694116,2,mri_1,23X,cell_count_50
-0.35679480806037034,3,mri_1,23X,cell_count_50
-0.26169536215551853,1,mri_2,23X,cell_count_50
-0.31342767483435435,2,mri_2,23X,cell_count_50
-0.2864518172184471,3,mri_2,23X,cell_count_50
-0.4358354347794891,1,mri_1,23X,cell_count_500
-0.4272590995073106,2,mri_1,23X,cell_count_500
-0.42582818537588296,3,mri_1,23X,cell_count_500
-0.3601897162302586,1,mri_2,23X,cell_count_500
-0.4033888677539418,2,mri_2,23X,cell_count_500
-0.3778409527020729,3,mri_2,23X,cell_count_500
-0.3412134443001378,1,mri_1,23X,cell_count_mri_width
-0.34283263867468644,2,mri_1,23X,cell_count_mri_width
-0.3864295383984788,3,mri_1,23X,cell_count_mri_width
-0.29521615576226323,1,mri_2,23X,cell_count_mri_width
-0.33687335065656304,2,mri_2,23X,cell_count_mri_width
-0.2939056001068459,3,mri_2,23X,cell_count_mri_width
