mi,max_slice,mri_key,animal_id,map_name
-0.3054127598101636,1,mri_1,23Y,cell_count_100
-0.36213001176936754,2,mri_1,23Y,cell_count_100
-0.3722568410421524,3,mri_1,23Y,cell_count_100
-0.32156947475324615,1,mri_2,23Y,cell_count_100
-0.22996499629214773,2,mri_2,23Y,cell_count_100
-0.35178306360078776,3,mri_2,23Y,cell_count_100
-0.4494585206099098,1,mri_1,23Y,cell_count_150
-0.45783352157393714,2,mri_1,23Y,cell_count_150
-0.46029573955201813,3,mri_1,23Y,cell_count_150
-0.2445656150130566,1,mri_2,23Y,cell_count_150
-0.19301207066568304,2,mri_2,23Y,cell_count_150
-0.30275238361049034,3,mri_2,23Y,cell_count_150
-0.44616636178668795,1,mri_1,23Y,cell_count_200
-0.46139196896954154,2,mri_1,23Y,cell_count_200
-0.46158814118000396,3,mri_1,23Y,cell_count_200
-0.3858074599000669,1,mri_2,23Y,cell_count_200
-0.2981874562002682,2,mri_2,23Y,cell_count_200
-0.41295640094288105,3,mri_2,23Y,cell_count_200
-0.44288130394173425,1,mri_1,23Y,cell_count_250
-0.4612372907557591,2,mri_1,23Y,cell_count_250
-0.4607211938220182,3,mri_1,23Y,cell_count_250
-0.3929388117648387,1,mri_2,23Y,cell_count_250
-0.3010134072413979,2,mri_2,23Y,cell_count_250
-0.40846677172677803,3,mri_2,23Y,cell_count_250
-0.4379482041419924,1,mri_1,23Y,cell_count_300
-0.4500622737418356,2,mri_1,23Y,cell_count_300
-0.44794255505092906,3,mri_1,23Y,cell_count_300
-0.3836231524619511,1,mri_2,23Y,cell_count_300
-0.2984922126363312,2,mri_2,23Y,cell_count_300
-0.4013103488914624,3,mri_2,23Y,cell_count_300
-0.42106349109490293,1,mri_1,23Y,cell_count_350
-0.45523281297538787,2,mri_1,23Y,cell_count_350
-0.4472486607045268,3,mri_1,23Y,cell_count_350
-0.3901692169566405,1,mri_2,23Y,cell_count_350
-0.31358485257499286,2,mri_2,23Y,cell_count_350
-0.40488899141856666,3,mri_2,23Y,cell_count_350
-0.4208421671715485,1,mri_1,23Y,cell_count_400
-0.4428701519256793,2,mri_1,23Y,cell_count_400
-0.43464301135271416,3,mri_1,23Y,cell_count_400
-0.37822373048170643,1,mri_2,23Y,cell_count_400
-0.3195254278545659,2,mri_2,23Y,cell_count_400
-0.3764429338693156,3,mri_2,23Y,cell_count_400
-0.4335236395009847,1,mri_1,23Y,cell_count_450
-0.44917124534924674,2,mri_1,23Y,cell_count_450
-0.4426223764580247,3,mri_1,23Y,cell_count_450
-0.3858825245056416,1,mri_2,23Y,cell_count_450
-0.30734104258270817,2,mri_2,23Y,cell_count_450
-0.39108609185012627,3,mri_2,23Y,cell_count_450
-0.4228353962578551,1,mri_1,23Y,cell_count_50
-0.44133790923346394,2,mri_1,23Y,cell_count_50
-0.4405991207853456,3,mri_1,23Y,cell_count_50
-0.3007591496044589,1,mri_2,23Y,cell_count_50
-0.20405978178885473,2,mri_2,23Y,cell_count_50
-0.3271975824996145,3,mri_2,23Y,cell_count_50
-0.4543496505884883,1,mri_1,23Y,cell_count_500
-0.4680076521734152,2,mri_1,23Y,cell_count_500
-0.4631431123067863,3,mri_1,23Y,cell_count_500
-0.3921406007213962,1,mri_2,23Y,cell_count_500
-0.33617619337461496,2,mri_2,23Y,cell_count_500
-0.41996596307783807,3,mri_2,23Y,cell_count_500
-0.4224676902660051,1,mri_1,23Y,cell_count_mri_width
-0.444934474537169,2,mri_1,23Y,cell_count_mri_width
-0.44804177723260946,3,mri_1,23Y,cell_count_mri_width
-0.31326279255927575,1,mri_2,23Y,cell_count_mri_width
-0.23393598957274905,2,mri_2,23Y,cell_count_mri_width
-0.3681684455585151,3,mri_2,23Y,cell_count_mri_width
