hist_name,map_name,mi,mri_key,no_reg_mi
23R-1,cell_count_100,-0.37549930591504893,mri_1,-0.07453529659181081
23R-1,cell_count_150,-0.4506502455475141,mri_1,-0.09114163700324276
23R-1,cell_count_200,-0.4049539210249467,mri_1,-0.07455890558911638
23R-1,cell_count_250,-0.4081716098135799,mri_1,-0.07495080729734412
23R-1,cell_count_300,-0.4038022086770785,mri_1,-0.07279327882310437
23R-1,cell_count_350,-0.3976078026578935,mri_1,-0.06789458860148143
23R-1,cell_count_400,-0.3926897982995527,mri_1,-0.07042223905201822
23R-1,cell_count_450,-0.3910512906837764,mri_1,-0.06978439087854092
23R-1,cell_count_50,-0.32879894544934224,mri_1,-0.06871182263775516
23R-1,cell_count_500,-0.40179066356321,mri_1,-0.07630194073565814
23R-2,cell_count_100,-0.3795660562579933,mri_1,-0.1454148985126848
23R-2,cell_count_150,-0.42828219344131996,mri_1,-0.15517231250332378
23R-2,cell_count_200,-0.39858341082558263,mri_1,-0.15248351968639412
23R-2,cell_count_250,-0.41395195401163976,mri_1,-0.15820127163130585
23R-2,cell_count_300,-0.40346300587871803,mri_1,-0.15408543668770686
23R-2,cell_count_350,-0.39440395609778045,mri_1,-0.15289663315045948
23R-2,cell_count_400,-0.40684351233365007,mri_1,-0.1602774205415801
23R-2,cell_count_450,-0.4023438162604741,mri_1,-0.15570344697008173
23R-2,cell_count_50,-0.3364845704716665,mri_1,-0.13387426330564928
23R-2,cell_count_500,-0.3904616144242698,mri_1,-0.15205546870595857
23R-3,cell_count_100,-0.28571774529933963,mri_1,-0.009135217500390303
23R-3,cell_count_150,-0.3032914558918809,mri_1,-0.01028828030086499
23R-3,cell_count_200,-0.2864848485050821,mri_1,-0.009404792557726083
23R-3,cell_count_250,-0.29415983934572976,mri_1,-0.009627189334484719
23R-3,cell_count_300,-0.2863963954776107,mri_1,-0.009643584659286289
23R-3,cell_count_350,-0.28665658025076957,mri_1,-0.00990128121326848
23R-3,cell_count_400,-0.2802656440660239,mri_1,-0.009817296109060535
23R-3,cell_count_450,-0.2793156119161658,mri_1,-0.010093269250744047
23R-3,cell_count_50,-0.26864480524584783,mri_1,-0.008730708167455201
23R-3,cell_count_500,-0.2906600239724399,mri_1,-0.00978082734425018
23R-3,cell_count_100,-0.1529960574360525,mri_2,-0.009349826144813392
23R-3,cell_count_150,-0.15997818537839098,mri_2,-0.010198120938469448
23R-3,cell_count_200,-0.1555368922842998,mri_2,-0.009584586557810545
23R-3,cell_count_250,-0.15599138585402347,mri_2,-0.009806254718693825
23R-3,cell_count_300,-0.15527822310853168,mri_2,-0.009995687539729226
23R-3,cell_count_350,-0.1567758557933155,mri_2,-0.010015959686692808
23R-3,cell_count_400,-0.15352548502704152,mri_2,-0.009946397672377493
23R-3,cell_count_450,-0.1521646099417716,mri_2,-0.010276834889624114
23R-3,cell_count_50,-0.14492843197927724,mri_2,-0.008763428006620633
23R-3,cell_count_500,-0.15460538029942256,mri_2,-0.009929668451998153
23R-4,cell_count_100,-0.41426533992276743,mri_2,-0.15134775743219167
23R-4,cell_count_150,-0.4624213043285026,mri_2,-0.162439822439506
23R-4,cell_count_200,-0.4441444061863797,mri_2,-0.15868878140768553
23R-4,cell_count_250,-0.45046805109091725,mri_2,-0.15848151484434583
23R-4,cell_count_300,-0.4424258509376265,mri_2,-0.15697134644437133
23R-4,cell_count_350,-0.4418637662234126,mri_2,-0.15350450230004645
23R-4,cell_count_400,-0.42594150995506674,mri_2,-0.15256126204263032
23R-4,cell_count_450,-0.41690476805916016,mri_2,-0.1470572580282452
23R-4,cell_count_50,-0.3674130304079931,mri_2,-0.13758764617385838
23R-4,cell_count_500,-0.4409104290639227,mri_2,-0.15823178311501235
23R-5,cell_count_100,-0.4040003395536564,mri_2,-0.1375346921763372
23R-5,cell_count_150,-0.45673606398944305,mri_2,-0.14585897089458202
23R-5,cell_count_200,-0.4305340421372571,mri_2,-0.14743056060695048
23R-5,cell_count_250,-0.4352295718778716,mri_2,-0.1503386420364809
23R-5,cell_count_300,-0.4241948298360679,mri_2,-0.14686219607533324
23R-5,cell_count_350,-0.43219670641158875,mri_2,-0.1473469116095367
23R-5,cell_count_400,-0.4085461561956958,mri_2,-0.14229475703994368
23R-5,cell_count_450,-0.39550310962581225,mri_2,-0.13984658778923717
23R-5,cell_count_50,-0.3536993766465643,mri_2,-0.12674093738417694
23R-5,cell_count_500,-0.4346286558345709,mri_2,-0.14804610382715194
