hist_name,map_name,mi,mri_key,no_reg_mi
23S-1,cell_count_100,-0.15740477784269077,mri_1,-0.15673482263206606
23S-1,cell_count_150,-0.16721719933010365,mri_1,-0.16818793836948456
23S-1,cell_count_200,-0.16691976661753244,mri_1,-0.16596905891890923
23S-1,cell_count_250,-0.16586667388319223,mri_1,-0.16393843286886162
23S-1,cell_count_300,-0.16910415156058556,mri_1,-0.16808096528476726
23S-1,cell_count_350,-0.16673240715885862,mri_1,-0.1634620882619235
23S-1,cell_count_400,-0.16950031116208256,mri_1,-0.16698171409328455
23S-1,cell_count_450,-0.1627680998704639,mri_1,-0.15969044632494375
23S-1,cell_count_50,-0.14067034838426856,mri_1,-0.14068728201156055
23S-1,cell_count_500,-0.17044920841200042,mri_1,-0.16758960040852652
23S-2,cell_count_100,-0.11078282457172123,mri_1,-0.1102556282558105
23S-2,cell_count_150,-0.12091424037516893,mri_1,-0.12048094456541657
23S-2,cell_count_200,-0.11581873149676467,mri_1,-0.1153502611380966
23S-2,cell_count_250,-0.11871624802502544,mri_1,-0.11818046436947832
23S-2,cell_count_300,-0.11823030603437434,mri_1,-0.11711670770229603
23S-2,cell_count_350,-0.11914664905561292,mri_1,-0.11784664186475474
23S-2,cell_count_400,-0.11401385696418756,mri_1,-0.1132581523941286
23S-2,cell_count_450,-0.11685613892162969,mri_1,-0.11522880373876426
23S-2,cell_count_50,-0.0961423529757506,mri_1,-0.09600197842409466
23S-2,cell_count_500,-0.12027180027703119,mri_1,-0.11906054689081591
23S-3,cell_count_100,-0.1303125213361496,mri_1,-0.12973877639380432
23S-3,cell_count_150,-0.13893007193681522,mri_1,-0.14096916832225728
23S-3,cell_count_200,-0.14199544383570617,mri_1,-0.1413591667868572
23S-3,cell_count_250,-0.14535105318489075,mri_1,-0.14405465473609952
23S-3,cell_count_300,-0.1406082464958873,mri_1,-0.13954524267270385
23S-3,cell_count_350,-0.15119788758718,mri_1,-0.14871740462396726
23S-3,cell_count_400,-0.13823726495865446,mri_1,-0.13663213911830294
23S-3,cell_count_450,-0.13808231627694473,mri_1,-0.1351792302063207
23S-3,cell_count_50,-0.11505107786876571,mri_1,-0.11498627699520977
23S-3,cell_count_500,-0.15050723211738154,mri_1,-0.14921891220115058
23S-3,cell_count_100,-0.12125721467279807,mri_2,-0.12035794075079571
23S-3,cell_count_150,-0.12936077402441784,mri_2,-0.13171204494011596
23S-3,cell_count_200,-0.13190685203422062,mri_2,-0.13100589845874525
23S-3,cell_count_250,-0.13472337293692105,mri_2,-0.13368793846436394
23S-3,cell_count_300,-0.1312836053584337,mri_2,-0.13027882225200182
23S-3,cell_count_350,-0.14184398617178298,mri_2,-0.13980968541318725
23S-3,cell_count_400,-0.12942960351348454,mri_2,-0.1279494848377973
23S-3,cell_count_450,-0.1285452569069413,mri_2,-0.12579680453881525
23S-3,cell_count_50,-0.10603916608025124,mri_2,-0.10580641488030451
23S-3,cell_count_500,-0.13995211203901928,mri_2,-0.13841637809247584
23S-4,cell_count_100,-0.10080549417311264,mri_2,-0.1001559424801207
23S-4,cell_count_150,-0.10914113623921734,mri_2,-0.10994953162173907
23S-4,cell_count_200,-0.10950598182051906,mri_2,-0.10902740648485731
23S-4,cell_count_250,-0.11223008772048414,mri_2,-0.11176189028863721
23S-4,cell_count_300,-0.10985741344379608,mri_2,-0.10922480806671019
23S-4,cell_count_350,-0.11108310641902501,mri_2,-0.11030457627201913
23S-4,cell_count_400,-0.11072969642025436,mri_2,-0.10904338482432191
23S-4,cell_count_450,-0.10759627698960174,mri_2,-0.10717324783124456
23S-4,cell_count_50,-0.08881443272743814,mri_2,-0.08854100473669793
23S-4,cell_count_500,-0.11900183880688649,mri_2,-0.11996546214621313
23S-5,cell_count_100,-0.11733806962970471,mri_2,-0.11674977233885693
23S-5,cell_count_150,-0.12284509076696286,mri_2,-0.12043499666214301
23S-5,cell_count_200,-0.1211935101748206,mri_2,-0.12058750432065768
23S-5,cell_count_250,-0.12777104621946075,mri_2,-0.1270087740274591
23S-5,cell_count_300,-0.1160074101636744,mri_2,-0.11524761344469239
23S-5,cell_count_350,-0.12903690118144995,mri_2,-0.12872461038302405
23S-5,cell_count_400,-0.11975435684632242,mri_2,-0.117154641199728
23S-5,cell_count_450,-0.13265096150641326,mri_2,-0.13273396973232063
23S-5,cell_count_50,-0.10585942232081871,mri_2,-0.10569799212270582
23S-5,cell_count_500,-0.1290248837999457,mri_2,-0.12738073742215394
