hist_name,map_name,mi,mri_key,no_reg_mi
23T-1,cell_count_100,-0.2894169389593879,mri_1,-0.08513522550206117
23T-1,cell_count_150,-0.3370775627057787,mri_1,-0.09995573608381761
23T-1,cell_count_200,-0.3122424206964193,mri_1,-0.08693198529601856
23T-1,cell_count_250,-0.318939838370751,mri_1,-0.09067747116732645
23T-1,cell_count_300,-0.3298065309377026,mri_1,-0.08419549751099449
23T-1,cell_count_350,-0.3360639786167773,mri_1,-0.08589514172150618
23T-1,cell_count_400,-0.31757517152543335,mri_1,-0.0796292912044609
23T-1,cell_count_450,-0.3229091434702446,mri_1,-0.07581155322136864
23T-1,cell_count_50,-0.2400404165628828,mri_1,-0.07689481496442532
23T-1,cell_count_500,-0.3266872491036723,mri_1,-0.0928259632646271
23T-2,cell_count_100,-0.02299548169085083,mri_1,-0.042350841924553635
23T-2,cell_count_150,-0.035372053965867456,mri_1,-0.048188155376377106
23T-2,cell_count_200,-0.027691759526809887,mri_1,-0.046625847127333524
23T-2,cell_count_250,-0.029184546991082878,mri_1,-0.04617881719590039
23T-2,cell_count_300,-0.029324519359004837,mri_1,-0.048596019240057346
23T-2,cell_count_350,-0.030727484545366123,mri_1,-0.04573585115432833
23T-2,cell_count_400,-0.03137428761222613,mri_1,-0.042613005231349046
23T-2,cell_count_450,-0.031696436855431366,mri_1,-0.04276483448833101
23T-2,cell_count_50,-0.018469800183092057,mri_1,-0.03952250099937223
23T-2,cell_count_500,-0.03196141620897873,mri_1,-0.04529728265159306
23T-3,cell_count_100,-0.281930949190088,mri_1,-0.08994976279711767
23T-3,cell_count_150,-0.31319146076055315,mri_1,-0.10023438003038727
23T-3,cell_count_200,-0.3077301299347464,mri_1,-0.09771657565964213
23T-3,cell_count_250,-0.3045665698135053,mri_1,-0.098160719103935
23T-3,cell_count_300,-0.3109413091220436,mri_1,-0.09772715289097428
23T-3,cell_count_350,-0.3055734404390642,mri_1,-0.09624835450603193
23T-3,cell_count_400,-0.31559032394696857,mri_1,-0.09807040089110582
23T-3,cell_count_450,-0.2967433489265479,mri_1,-0.09065371558317535
23T-3,cell_count_50,-0.25050608604204355,mri_1,-0.08337325019503507
23T-3,cell_count_500,-0.3009365008757899,mri_1,-0.09435838338138475
23T-3,cell_count_100,-0.31743287226516237,mri_2,-0.1432483274285387
23T-3,cell_count_150,-0.34617783540121844,mri_2,-0.1492077104959709
23T-3,cell_count_200,-0.34208872074337177,mri_2,-0.153052289881969
23T-3,cell_count_250,-0.34078319987083916,mri_2,-0.1524144879710579
23T-3,cell_count_300,-0.3438449157464975,mri_2,-0.15173229174415553
23T-3,cell_count_350,-0.3334324684892471,mri_2,-0.14998375443321477
23T-3,cell_count_400,-0.3500445928767641,mri_2,-0.15501337026641723
23T-3,cell_count_450,-0.3280823680078339,mri_2,-0.1448564181206189
23T-3,cell_count_50,-0.2839466767970447,mri_2,-0.1307463021783955
23T-3,cell_count_500,-0.33813847421677046,mri_2,-0.151479522475662
23T-4,cell_count_100,-0.2852469233552851,mri_2,-0.13598641770180223
23T-4,cell_count_150,-0.3294906039619038,mri_2,-0.1452916027192569
23T-4,cell_count_200,-0.3071228516070078,mri_2,-0.14560614315687712
23T-4,cell_count_250,-0.30350213922066205,mri_2,-0.14682972508949632
23T-4,cell_count_300,-0.30615491380469406,mri_2,-0.1438737629874985
23T-4,cell_count_350,-0.30771015309382493,mri_2,-0.14873660812310766
23T-4,cell_count_400,-0.3025504028746051,mri_2,-0.1458841429823716
23T-4,cell_count_450,-0.3031286349516572,mri_2,-0.14770484804793105
23T-4,cell_count_50,-0.2570835252578062,mri_2,-0.12450612635687619
23T-4,cell_count_500,-0.30925319589357614,mri_2,-0.15259967620436302
23T-5,cell_count_100,-0.044036811481365,mri_2,-0.13608695937339976
23T-5,cell_count_150,-0.05837063654528089,mri_2,-0.14050848308077243
23T-5,cell_count_200,-0.05158989061653822,mri_2,-0.14469145031247582
23T-5,cell_count_250,-0.05507962341227061,mri_2,-0.14470018945586285
23T-5,cell_count_300,-0.05664497818780616,mri_2,-0.13712268547630882
23T-5,cell_count_350,-0.05807724293332257,mri_2,-0.13862003017469066
23T-5,cell_count_400,-0.06235886308396931,mri_2,-0.14854866209234371
23T-5,cell_count_450,-0.05903299775862898,mri_2,-0.1280618290752891
23T-5,cell_count_50,-0.03589057909702969,mri_2,-0.11990006398448823
23T-5,cell_count_500,-0.06295997765832402,mri_2,-0.14618737951276362
