hist_name,map_name,mi,mri_key,no_reg_mi
23T-1,cell_count_100,-0.220997675824891,mri_1,-0.08513522550206117
23T-1,cell_count_150,-0.245243812301745,mri_1,-0.09995573608381761
23T-1,cell_count_200,-0.232640597408091,mri_1,-0.08693198529601856
23T-1,cell_count_250,-0.23691211418984334,mri_1,-0.09067747116732645
23T-1,cell_count_300,-0.23186370594938743,mri_1,-0.08419549751099449
23T-1,cell_count_350,-0.23679745272112318,mri_1,-0.08589514172150618
23T-1,cell_count_400,-0.22466926065559858,mri_1,-0.0796292912044609
23T-1,cell_count_450,-0.22477969255773378,mri_1,-0.07581155322136864
23T-1,cell_count_50,-0.1893946921073239,mri_1,-0.07689481496442532
23T-1,cell_count_500,-0.24611094297881778,mri_1,-0.0928259632646271
23T-2,cell_count_100,-0.15573342892188585,mri_1,-0.042350841924553635
23T-2,cell_count_150,-0.1825869763198854,mri_1,-0.048188155376377106
23T-2,cell_count_200,-0.16901173512419912,mri_1,-0.046625847127333524
23T-2,cell_count_250,-0.17039680368722537,mri_1,-0.04617881719590039
23T-2,cell_count_300,-0.1736545973566537,mri_1,-0.048596019240057346
23T-2,cell_count_350,-0.17358558689663908,mri_1,-0.04573585115432833
23T-2,cell_count_400,-0.17216937154077472,mri_1,-0.042613005231349046
23T-2,cell_count_450,-0.1638467219904615,mri_1,-0.04276483448833101
23T-2,cell_count_50,-0.13492996605364038,mri_1,-0.03952250099937223
23T-2,cell_count_500,-0.17737492133641794,mri_1,-0.04529728265159306
23T-3,cell_count_100,-0.032118593673642275,mri_1,-0.08994976279711767
23T-3,cell_count_150,-0.03746533122094697,mri_1,-0.10023438003038727
23T-3,cell_count_200,-0.03516889248375084,mri_1,-0.09771657565964213
23T-3,cell_count_250,-0.036625100106218965,mri_1,-0.098160719103935
23T-3,cell_count_300,-0.03538795315269718,mri_1,-0.09772715289097428
23T-3,cell_count_350,-0.03968424511206018,mri_1,-0.09624835450603193
23T-3,cell_count_400,-0.03982149714510987,mri_1,-0.09807040089110582
23T-3,cell_count_450,-0.03674439782139576,mri_1,-0.09065371558317535
23T-3,cell_count_50,-0.028656958567444626,mri_1,-0.08337325019503507
23T-3,cell_count_500,-0.03909962506726679,mri_1,-0.09435838338138475
23T-3,cell_count_100,-0.15683251688520694,mri_2,-0.1432483274285387
23T-3,cell_count_150,-0.17418179705010145,mri_2,-0.1492077104959709
23T-3,cell_count_200,-0.16964905033001917,mri_2,-0.153052289881969
23T-3,cell_count_250,-0.17232987066747665,mri_2,-0.1524144879710579
23T-3,cell_count_300,-0.17508602355450129,mri_2,-0.15173229174415553
23T-3,cell_count_350,-0.18338500893685794,mri_2,-0.14998375443321477
23T-3,cell_count_400,-0.17718462946002578,mri_2,-0.15501337026641723
23T-3,cell_count_450,-0.18205349674961305,mri_2,-0.1448564181206189
23T-3,cell_count_50,-0.13133006485906,mri_2,-0.1307463021783955
23T-3,cell_count_500,-0.1735128414842307,mri_2,-0.151479522475662
23T-4,cell_count_100,-0.11438666450775076,mri_2,-0.13598641770180223
23T-4,cell_count_150,-0.13614501885346172,mri_2,-0.1452916027192569
23T-4,cell_count_200,-0.12915985825453483,mri_2,-0.14560614315687712
23T-4,cell_count_250,-0.1300397407369919,mri_2,-0.14682972508949632
23T-4,cell_count_300,-0.13775436379298078,mri_2,-0.1438737629874985
23T-4,cell_count_350,-0.13755416771079987,mri_2,-0.14873660812310766
23T-4,cell_count_400,-0.1424617711940571,mri_2,-0.1458841429823716
23T-4,cell_count_450,-0.1402554145249574,mri_2,-0.14770484804793105
23T-4,cell_count_50,-0.09788141725776033,mri_2,-0.12450612635687619
23T-4,cell_count_500,-0.14441432676838215,mri_2,-0.15259967620436302
23T-5,cell_count_100,-0.058495900234010245,mri_2,-0.13608695937339976
23T-5,cell_count_150,-0.07042352735429375,mri_2,-0.14050848308077243
23T-5,cell_count_200,-0.07029157675836972,mri_2,-0.14469145031247582
23T-5,cell_count_250,-0.07332742580445141,mri_2,-0.14470018945586285
23T-5,cell_count_300,-0.07492766182501645,mri_2,-0.13712268547630882
23T-5,cell_count_350,-0.07794116112105542,mri_2,-0.13862003017469066
23T-5,cell_count_400,-0.07410302167361377,mri_2,-0.14854866209234371
23T-5,cell_count_450,-0.08151435541082232,mri_2,-0.1280618290752891
23T-5,cell_count_50,-0.04801055711139447,mri_2,-0.11990006398448823
23T-5,cell_count_500,-0.08626628156325987,mri_2,-0.14618737951276362
