hist_name,map_name,mi,mri_key,no_reg_mi
23T-1,cell_count_100,-0.08525932696899122,mri_1,-0.08513522550206117
23T-1,cell_count_150,-0.09881974064600697,mri_1,-0.09995573608381761
23T-1,cell_count_200,-0.08720290747467001,mri_1,-0.08693198529601856
23T-1,cell_count_250,-0.09046757801461844,mri_1,-0.09067747116732645
23T-1,cell_count_300,-0.08433539110287876,mri_1,-0.08419549751099449
23T-1,cell_count_350,-0.08592477432811282,mri_1,-0.08589514172150618
23T-1,cell_count_400,-0.07979364497567626,mri_1,-0.0796292912044609
23T-1,cell_count_450,-0.0766294803202409,mri_1,-0.07581155322136864
23T-1,cell_count_50,-0.07703214566580921,mri_1,-0.07689481496442532
23T-1,cell_count_500,-0.09313572924497757,mri_1,-0.0928259632646271
23T-2,cell_count_100,-0.04261649444479376,mri_1,-0.042350841924553635
23T-2,cell_count_150,-0.0480944509568433,mri_1,-0.048188155376377106
23T-2,cell_count_200,-0.04687800080765345,mri_1,-0.046625847127333524
23T-2,cell_count_250,-0.04644961297370177,mri_1,-0.04617881719590039
23T-2,cell_count_300,-0.04898327936405388,mri_1,-0.048596019240057346
23T-2,cell_count_350,-0.04635517797714134,mri_1,-0.04573585115432833
23T-2,cell_count_400,-0.04311543219410884,mri_1,-0.042613005231349046
23T-2,cell_count_450,-0.043225614370223236,mri_1,-0.04276483448833101
23T-2,cell_count_50,-0.039640438397337295,mri_1,-0.03952250099937223
23T-2,cell_count_500,-0.046016702276482344,mri_1,-0.04529728265159306
23T-3,cell_count_100,-0.09012415989974516,mri_1,-0.08994976279711767
23T-3,cell_count_150,-0.09998044307569173,mri_1,-0.10023438003038727
23T-3,cell_count_200,-0.09814677522231809,mri_1,-0.09771657565964213
23T-3,cell_count_250,-0.09804167177463115,mri_1,-0.098160719103935
23T-3,cell_count_300,-0.09823939991687829,mri_1,-0.09772715289097428
23T-3,cell_count_350,-0.09692399893733901,mri_1,-0.09624835450603193
23T-3,cell_count_400,-0.09966476451158653,mri_1,-0.09807040089110582
23T-3,cell_count_450,-0.09157240584369972,mri_1,-0.09065371558317535
23T-3,cell_count_50,-0.08351179814637101,mri_1,-0.08337325019503507
23T-3,cell_count_500,-0.0953125641596227,mri_1,-0.09435838338138475
23T-3,cell_count_100,-0.1436070858439322,mri_2,-0.1432483274285387
23T-3,cell_count_150,-0.14934712896894375,mri_2,-0.1492077104959709
23T-3,cell_count_200,-0.15380483855340027,mri_2,-0.153052289881969
23T-3,cell_count_250,-0.15304098560119656,mri_2,-0.1524144879710579
23T-3,cell_count_300,-0.15344381747474473,mri_2,-0.15173229174415553
23T-3,cell_count_350,-0.15136161766626968,mri_2,-0.14998375443321477
23T-3,cell_count_400,-0.1573432485393758,mri_2,-0.15501337026641723
23T-3,cell_count_450,-0.14656778953960498,mri_2,-0.1448564181206189
23T-3,cell_count_50,-0.13108416698411682,mri_2,-0.1307463021783955
23T-3,cell_count_500,-0.15344391350673814,mri_2,-0.151479522475662
23T-4,cell_count_100,-0.13781483356100532,mri_2,-0.13598641770180223
23T-4,cell_count_150,-0.14816436889082973,mri_2,-0.1452916027192569
23T-4,cell_count_200,-0.14755503332912387,mri_2,-0.14560614315687712
23T-4,cell_count_250,-0.14797729893261638,mri_2,-0.14682972508949632
23T-4,cell_count_300,-0.14764613809140115,mri_2,-0.1438737629874985
23T-4,cell_count_350,-0.14898502581273668,mri_2,-0.14873660812310766
23T-4,cell_count_400,-0.1492309826986039,mri_2,-0.1458841429823716
23T-4,cell_count_450,-0.15007442550801617,mri_2,-0.14770484804793105
23T-4,cell_count_50,-0.12572362789214356,mri_2,-0.12450612635687619
23T-4,cell_count_500,-0.15144914561150088,mri_2,-0.15259967620436302
23T-5,cell_count_100,-0.13594869747282495,mri_2,-0.13608695937339976
23T-5,cell_count_150,-0.1417335103104667,mri_2,-0.14050848308077243
23T-5,cell_count_200,-0.1448084195525802,mri_2,-0.14469145031247582
23T-5,cell_count_250,-0.14534647602106787,mri_2,-0.14470018945586285
23T-5,cell_count_300,-0.1386350714718438,mri_2,-0.13712268547630882
23T-5,cell_count_350,-0.14047769593493584,mri_2,-0.13862003017469066
23T-5,cell_count_400,-0.14937046207768773,mri_2,-0.14854866209234371
23T-5,cell_count_450,-0.13112720772578518,mri_2,-0.1280618290752891
23T-5,cell_count_50,-0.11944878749926145,mri_2,-0.11990006398448823
23T-5,cell_count_500,-0.14908071517809193,mri_2,-0.14618737951276362
