hist_name,map_name,mi,mri_key,no_reg_mi
23W-1,cell_count_100,-0.10055311937943431,mri_1,-0.10024126811320834
23W-1,cell_count_150,-0.11316480684350054,mri_1,-0.11319580716000623
23W-1,cell_count_200,-0.11513550726311093,mri_1,-0.1151136362890062
23W-1,cell_count_250,-0.1158468076050389,mri_1,-0.11626456937946722
23W-1,cell_count_300,-0.11183437823019456,mri_1,-0.11176074686507549
23W-1,cell_count_350,-0.11407889467855793,mri_1,-0.11424046668559851
23W-1,cell_count_400,-0.1095285922799968,mri_1,-0.10943868027152108
23W-1,cell_count_450,-0.10427241703745417,mri_1,-0.10379315961421708
23W-1,cell_count_50,-0.08415245974514614,mri_1,-0.08405141142573257
23W-1,cell_count_500,-0.12389690377479734,mri_1,-0.12461490878527687
23W-2,cell_count_100,-0.07229914335652539,mri_1,-0.07204847404950493
23W-2,cell_count_150,-0.08160544342877346,mri_1,-0.08165438807353628
23W-2,cell_count_200,-0.07801587243195096,mri_1,-0.07783310139023847
23W-2,cell_count_250,-0.08412258708234911,mri_1,-0.08394452453805809
23W-2,cell_count_300,-0.07879148506927289,mri_1,-0.07856579669760273
23W-2,cell_count_350,-0.07395588254727814,mri_1,-0.07358923483157365
23W-2,cell_count_400,-0.08019448890523911,mri_1,-0.08029126945210088
23W-2,cell_count_450,-0.07894248005009073,mri_1,-0.07918018634160778
23W-2,cell_count_50,-0.06147511468250199,mri_1,-0.061588290444787835
23W-2,cell_count_500,-0.07879611613602157,mri_1,-0.07909325983654639
23W-3,cell_count_100,-0.11593405870812673,mri_1,-0.11560433977273003
23W-3,cell_count_150,-0.12197967722444665,mri_1,-0.12379152973468328
23W-3,cell_count_200,-0.1293999472946852,mri_1,-0.13039729333533634
23W-3,cell_count_250,-0.12184190559175861,mri_1,-0.12148178672483208
23W-3,cell_count_300,-0.13318042082825451,mri_1,-0.13434307890092595
23W-3,cell_count_350,-0.14003567065363945,mri_1,-0.14217290331734483
23W-3,cell_count_400,-0.13133822197611458,mri_1,-0.13189741728249677
23W-3,cell_count_450,-0.1396865158292,mri_1,-0.14184573522927496
23W-3,cell_count_50,-0.09910821381314039,mri_1,-0.09891681496146768
23W-3,cell_count_500,-0.1271035893650651,mri_1,-0.12764924291556726
23W-3,cell_count_100,-0.10680905446634763,mri_2,-0.10659087335415901
23W-3,cell_count_150,-0.11169191955708327,mri_2,-0.11356110697749265
23W-3,cell_count_200,-0.1209523391557837,mri_2,-0.12195326767230101
23W-3,cell_count_250,-0.11380044256533708,mri_2,-0.1136364809730586
23W-3,cell_count_300,-0.1241429270612682,mri_2,-0.12603716552669614
23W-3,cell_count_350,-0.1317809598206481,mri_2,-0.13481173334464755
23W-3,cell_count_400,-0.12145191171572915,mri_2,-0.12175210855678889
23W-3,cell_count_450,-0.1315239113476078,mri_2,-0.13435696915544218
23W-3,cell_count_50,-0.09166422624481063,mri_2,-0.09143552808871419
23W-3,cell_count_500,-0.1214153444234967,mri_2,-0.12290112372550151
23W-4,cell_count_100,-0.05321911312066196,mri_2,-0.05321712438641969
23W-4,cell_count_150,-0.06187428883227587,mri_2,-0.06179285044005857
23W-4,cell_count_200,-0.05907964452857464,mri_2,-0.05905613148438035
23W-4,cell_count_250,-0.057780601787927356,mri_2,-0.05780642150529917
23W-4,cell_count_300,-0.05734794262218657,mri_2,-0.05730700912515715
23W-4,cell_count_350,-0.05629225027302816,mri_2,-0.05635411330816995
23W-4,cell_count_400,-0.05546287613156581,mri_2,-0.0554952658552346
23W-4,cell_count_450,-0.055589880584918566,mri_2,-0.05538625701497832
23W-4,cell_count_50,-0.0483106577417124,mri_2,-0.04839852242492546
23W-4,cell_count_500,-0.06516141674339741,mri_2,-0.06573772940136084
23W-5,cell_count_100,-0.05627442397830751,mri_2,-0.05573716459384007
23W-5,cell_count_150,-0.06562183886746535,mri_2,-0.06505565996558751
23W-5,cell_count_200,-0.06412753918260392,mri_2,-0.06352050519986717
23W-5,cell_count_250,-0.06346543165554057,mri_2,-0.06222200041745596
23W-5,cell_count_300,-0.06598700915675831,mri_2,-0.06487926797224763
23W-5,cell_count_350,-0.07003007494325139,mri_2,-0.06956157874618273
23W-5,cell_count_400,-0.0695111308420239,mri_2,-0.06810386085723448
23W-5,cell_count_450,-0.06865525883464867,mri_2,-0.06783661944314104
23W-5,cell_count_50,-0.04746652352281324,mri_2,-0.04734865900722382
23W-5,cell_count_500,-0.07710088885517936,mri_2,-0.07814230019665183
