hist_name,map_name,mi,mri_key,no_reg_mi
23X-1,cell_count_100,-0.343178680617826,mri_1,-0.13577292078795195
23X-1,cell_count_150,-0.43878924387976304,mri_1,-0.16767137253675907
23X-1,cell_count_200,-0.3958006338912803,mri_1,-0.14519364958206496
23X-1,cell_count_250,-0.39988083254801693,mri_1,-0.15066203648974183
23X-1,cell_count_300,-0.40490458740239493,mri_1,-0.14017859544750566
23X-1,cell_count_350,-0.4158965098486256,mri_1,-0.1419677734758875
23X-1,cell_count_400,-0.39828455706150434,mri_1,-0.13942500509631356
23X-1,cell_count_450,-0.38831502536153567,mri_1,-0.1326297398198315
23X-1,cell_count_50,-0.26482390285075863,mri_1,-0.11321308748452702
23X-1,cell_count_500,-0.40368130625925996,mri_1,-0.14996463650782824
23X-2,cell_count_100,-0.014192202234702224,mri_1,-0.1419969894928716
23X-2,cell_count_150,-0.024642059550874493,mri_1,-0.18816148588581555
23X-2,cell_count_200,-0.01914520967061537,mri_1,-0.17110555695305407
23X-2,cell_count_250,-0.01890995851411273,mri_1,-0.1762849865274872
23X-2,cell_count_300,-0.023647849620429325,mri_1,-0.18340177661559115
23X-2,cell_count_350,-0.019271510971187907,mri_1,-0.19113997164127292
23X-2,cell_count_400,-0.021460830304022842,mri_1,-0.1884179526147119
23X-2,cell_count_450,-0.02457425453058693,mri_1,-0.19774142246262627
23X-2,cell_count_50,-0.011300959814504376,mri_1,-0.1155456823932394
23X-2,cell_count_500,-0.021774060966002876,mri_1,-0.1966308840701789
23X-3,cell_count_100,-0.1732663120788886,mri_1,-0.018050836983580905
23X-3,cell_count_150,-0.21708444082840797,mri_1,-0.024105436071945978
23X-3,cell_count_200,-0.19433719991033033,mri_1,-0.01971784703729031
23X-3,cell_count_250,-0.2007720822456747,mri_1,-0.02009353770395236
23X-3,cell_count_300,-0.20112898053161749,mri_1,-0.019469436193572817
23X-3,cell_count_350,-0.1973282266260869,mri_1,-0.01759468279168749
23X-3,cell_count_400,-0.20423690109187595,mri_1,-0.01933981774094502
23X-3,cell_count_450,-0.20982506510558033,mri_1,-0.019256931709893694
23X-3,cell_count_50,-0.15296158224057327,mri_1,-0.016539900158009727
23X-3,cell_count_500,-0.20237409515675567,mri_1,-0.018711338598576037
23X-3,cell_count_100,-0.09705771290996365,mri_2,-0.019646206105867987
23X-3,cell_count_150,-0.1259480352306477,mri_2,-0.026086258586191815
23X-3,cell_count_200,-0.10957724602625062,mri_2,-0.0213170157820182
23X-3,cell_count_250,-0.11279156676023566,mri_2,-0.0219143472281906
23X-3,cell_count_300,-0.11240720832025593,mri_2,-0.022052322670603277
23X-3,cell_count_350,-0.12163151173210801,mri_2,-0.019494127103956326
23X-3,cell_count_400,-0.11606521421448636,mri_2,-0.021744908560462843
23X-3,cell_count_450,-0.1254992034044951,mri_2,-0.021136782751074383
23X-3,cell_count_50,-0.08460866579958089,mri_2,-0.018148569327038414
23X-3,cell_count_500,-0.11956291625288928,mri_2,-0.021014949091112792
23X-4,cell_count_100,-0.2764065099717155,mri_2,-0.12480674758907916
23X-4,cell_count_150,-0.4559248896229229,mri_2,-0.1591702767861461
23X-4,cell_count_200,-0.35163955697373955,mri_2,-0.1438808748027639
23X-4,cell_count_250,-0.3703942076031916,mri_2,-0.1508106220459114
23X-4,cell_count_300,-0.3728924740489018,mri_2,-0.1449052727336594
23X-4,cell_count_350,-0.39142989318412613,mri_2,-0.14733029861403682
23X-4,cell_count_400,-0.3953490473203877,mri_2,-0.14568251593430323
23X-4,cell_count_450,-0.3777216573398693,mri_2,-0.13733445003434278
23X-4,cell_count_50,-0.21798873710794708,mri_2,-0.10417257690405538
23X-4,cell_count_500,-0.40335282679752765,mri_2,-0.15207081487541244
23X-5,cell_count_100,-0.09711005125818285,mri_2,-0.09431926868725041
23X-5,cell_count_150,-0.14701228197948332,mri_2,-0.13616069933717473
23X-5,cell_count_200,-0.10906875236231231,mri_2,-0.10409590490600373
23X-5,cell_count_250,-0.1126218476669471,mri_2,-0.1090508028981698
23X-5,cell_count_300,-0.11402763586269633,mri_2,-0.1066695384220695
23X-5,cell_count_350,-0.11588811744675308,mri_2,-0.11136943595545808
23X-5,cell_count_400,-0.11550440000458753,mri_2,-0.10771299707588906
23X-5,cell_count_450,-0.12455287252191746,mri_2,-0.1171655998517468
23X-5,cell_count_50,-0.07982839501336922,mri_2,-0.07829874997077296
23X-5,cell_count_500,-0.12024389941221617,mri_2,-0.11378643213022384
