hist_name,map_name,mi,mri_key,no_reg_mi
23Y-1,cell_count_100,-0.21834461664415986,mri_1,-0.08211106592309117
23Y-1,cell_count_150,-0.34724183400104214,mri_1,-0.10482078288959731
23Y-1,cell_count_200,-0.35451619052105604,mri_1,-0.09861237609678601
23Y-1,cell_count_250,-0.35418227427839244,mri_1,-0.10060338164736335
23Y-1,cell_count_300,-0.3577337611469087,mri_1,-0.09814486173281166
23Y-1,cell_count_350,-0.353035906562314,mri_1,-0.09799424161772136
23Y-1,cell_count_400,-0.35613134870803925,mri_1,-0.0974395732338074
23Y-1,cell_count_450,-0.36756127423680574,mri_1,-0.09860239326220467
23Y-1,cell_count_50,-0.3110057272362264,mri_1,-0.08907891676360881
23Y-1,cell_count_500,-0.35846823215441154,mri_1,-0.10396950285624834
23Y-2,cell_count_100,-0.19471085258992962,mri_1,-0.07146387462401009
23Y-2,cell_count_150,-0.2768631923063833,mri_1,-0.08546941411020952
23Y-2,cell_count_200,-0.27308932316850976,mri_1,-0.08119277379369697
23Y-2,cell_count_250,-0.2759630305486457,mri_1,-0.08884149500447604
23Y-2,cell_count_300,-0.2671101039706351,mri_1,-0.07790947396772585
23Y-2,cell_count_350,-0.2760084090470836,mri_1,-0.08211516889469192
23Y-2,cell_count_400,-0.2674571663144023,mri_1,-0.07846854440338484
23Y-2,cell_count_450,-0.267685120269068,mri_1,-0.08357169989635568
23Y-2,cell_count_50,-0.25524965870834254,mri_1,-0.07301851719226966
23Y-2,cell_count_500,-0.2777659013397507,mri_1,-0.08941634217016871
23Y-3,cell_count_100,-0.2936941325319098,mri_1,-0.08472137350115369
23Y-3,cell_count_150,-0.4451864237052572,mri_1,-0.1022241984392143
23Y-3,cell_count_200,-0.3668201027535246,mri_1,-0.1029138599117426
23Y-3,cell_count_250,-0.3773998916768293,mri_1,-0.10423453409515936
23Y-3,cell_count_300,-0.3697185945961392,mri_1,-0.09659760329010668
23Y-3,cell_count_350,-0.38652315974203444,mri_1,-0.09875029211687293
23Y-3,cell_count_400,-0.3685666138331005,mri_1,-0.0924360605610232
23Y-3,cell_count_450,-0.37285808544395355,mri_1,-0.09483466950383145
23Y-3,cell_count_50,-0.26680854990111585,mri_1,-0.07769560757540196
23Y-3,cell_count_500,-0.37732610344641665,mri_1,-0.10454418320480971
23Y-3,cell_count_100,-0.2951910205396066,mri_2,-0.08795961274368395
23Y-3,cell_count_150,-0.4495710076816092,mri_2,-0.10647417825622678
23Y-3,cell_count_200,-0.37196460076239884,mri_2,-0.10655706710698715
23Y-3,cell_count_250,-0.38279835239357757,mri_2,-0.10825472037578
23Y-3,cell_count_300,-0.3770649626551012,mri_2,-0.10196334006504534
23Y-3,cell_count_350,-0.3926543131027087,mri_2,-0.10287691365740417
23Y-3,cell_count_400,-0.3754993205892988,mri_2,-0.09653378024473067
23Y-3,cell_count_450,-0.3814873358941624,mri_2,-0.09842301979182813
23Y-3,cell_count_50,-0.2662769748042895,mri_2,-0.0805741422127276
23Y-3,cell_count_500,-0.3837487275632637,mri_2,-0.1088896594519747
23Y-4,cell_count_100,-0.093250311205895,mri_2,-0.008587401875828408
23Y-4,cell_count_150,-0.11282719582633895,mri_2,-0.010587326917414465
23Y-4,cell_count_200,-0.10524260291330065,mri_2,-0.010018747488114214
23Y-4,cell_count_250,-0.10781915667850478,mri_2,-0.010028108133977675
23Y-4,cell_count_300,-0.10715162165262097,mri_2,-0.010259643990905036
23Y-4,cell_count_350,-0.10900422093779752,mri_2,-0.010550351899082409
23Y-4,cell_count_400,-0.10654192789527438,mri_2,-0.010234982879564697
23Y-4,cell_count_450,-0.10836862309282087,mri_2,-0.010203658065205614
23Y-4,cell_count_50,-0.08904714240853731,mri_2,-0.00821406311341596
23Y-4,cell_count_500,-0.10890339644312319,mri_2,-0.01022603761581614
23Y-5,cell_count_100,-0.3246744645214757,mri_2,-0.1161086777446883
23Y-5,cell_count_150,-0.4436424415233623,mri_2,-0.1323654532400574
23Y-5,cell_count_200,-0.40894576935735333,mri_2,-0.13303884145819173
23Y-5,cell_count_250,-0.4243279939274268,mri_2,-0.13488663226780237
23Y-5,cell_count_300,-0.4282986706970945,mri_2,-0.13587824886777788
23Y-5,cell_count_350,-0.43297122158551316,mri_2,-0.13229250061487924
23Y-5,cell_count_400,-0.41866777598078536,mri_2,-0.13281968685286005
23Y-5,cell_count_450,-0.427767893084708,mri_2,-0.1300887913792248
23Y-5,cell_count_50,-0.2929354434764612,mri_2,-0.10363955107542536
23Y-5,cell_count_500,-0.43292011993516555,mri_2,-0.1426301543001766
