hist_name,map_name,mi,mri_key,no_reg_mi
23Y-1,cell_count_100,-0.2574173407552877,mri_1,-0.08211106592309117
23Y-1,cell_count_150,-0.4201017730017887,mri_1,-0.10482078288959731
23Y-1,cell_count_200,-0.4268906839552508,mri_1,-0.09861237609678601
23Y-1,cell_count_250,-0.43259050625279755,mri_1,-0.10060338164736335
23Y-1,cell_count_300,-0.438703253368422,mri_1,-0.09814486173281166
23Y-1,cell_count_350,-0.43987816743871255,mri_1,-0.09799424161772136
23Y-1,cell_count_400,-0.4380523903270442,mri_1,-0.0974395732338074
23Y-1,cell_count_450,-0.45073116066835767,mri_1,-0.09860239326220467
23Y-1,cell_count_50,-0.36935065694842045,mri_1,-0.08907891676360881
23Y-1,cell_count_500,-0.43481170383231754,mri_1,-0.10396950285624834
23Y-2,cell_count_100,-0.22135058466276825,mri_1,-0.07146387462401009
23Y-2,cell_count_150,-0.3160215735525526,mri_1,-0.08546941411020952
23Y-2,cell_count_200,-0.32154784115652585,mri_1,-0.08119277379369697
23Y-2,cell_count_250,-0.3261863693832925,mri_1,-0.08884149500447604
23Y-2,cell_count_300,-0.3264365866100839,mri_1,-0.07790947396772585
23Y-2,cell_count_350,-0.33609829417476605,mri_1,-0.08211516889469192
23Y-2,cell_count_400,-0.3342774227484966,mri_1,-0.07846854440338484
23Y-2,cell_count_450,-0.34581040631193244,mri_1,-0.08357169989635568
23Y-2,cell_count_50,-0.2813540377245316,mri_1,-0.07301851719226966
23Y-2,cell_count_500,-0.33753282480124275,mri_1,-0.08941634217016871
23Y-3,cell_count_100,-0.144403209762409,mri_1,-0.08472137350115369
23Y-3,cell_count_150,-0.20710200093043807,mri_1,-0.1022241984392143
23Y-3,cell_count_200,-0.17989601338441166,mri_1,-0.1029138599117426
23Y-3,cell_count_250,-0.18463107314929378,mri_1,-0.10423453409515936
23Y-3,cell_count_300,-0.19242684837434543,mri_1,-0.09659760329010668
23Y-3,cell_count_350,-0.19938068489042202,mri_1,-0.09875029211687293
23Y-3,cell_count_400,-0.19876859321003001,mri_1,-0.0924360605610232
23Y-3,cell_count_450,-0.204081005093854,mri_1,-0.09483466950383145
23Y-3,cell_count_50,-0.13067902735347306,mri_1,-0.07769560757540196
23Y-3,cell_count_500,-0.19713156023556053,mri_1,-0.10454418320480971
23Y-3,cell_count_100,-0.11320435654239035,mri_2,-0.08795961274368395
23Y-3,cell_count_150,-0.15844931868862752,mri_2,-0.10647417825622678
23Y-3,cell_count_200,-0.13524460576723982,mri_2,-0.10655706710698715
23Y-3,cell_count_250,-0.13811704477965192,mri_2,-0.10825472037578
23Y-3,cell_count_300,-0.14248444185469078,mri_2,-0.10196334006504534
23Y-3,cell_count_350,-0.14278714339400694,mri_2,-0.10287691365740417
23Y-3,cell_count_400,-0.14133253694774806,mri_2,-0.09653378024473067
23Y-3,cell_count_450,-0.1419155179704969,mri_2,-0.09842301979182813
23Y-3,cell_count_50,-0.10148927573980737,mri_2,-0.0805741422127276
23Y-3,cell_count_500,-0.14090688372632088,mri_2,-0.1088896594519747
23Y-4,cell_count_100,-0.09426412810260108,mri_2,-0.008587401875828408
23Y-4,cell_count_150,-0.11413856800642634,mri_2,-0.010587326917414465
23Y-4,cell_count_200,-0.10648876833039725,mri_2,-0.010018747488114214
23Y-4,cell_count_250,-0.1094163603208406,mri_2,-0.010028108133977675
23Y-4,cell_count_300,-0.1088302935549267,mri_2,-0.010259643990905036
23Y-4,cell_count_350,-0.1098437613698028,mri_2,-0.010550351899082409
23Y-4,cell_count_400,-0.10870696282901889,mri_2,-0.010234982879564697
23Y-4,cell_count_450,-0.1101938944048484,mri_2,-0.010203658065205614
23Y-4,cell_count_50,-0.08965615110578591,mri_2,-0.00821406311341596
23Y-4,cell_count_500,-0.11053808778057174,mri_2,-0.01022603761581614
23Y-5,cell_count_100,-0.040087223557244804,mri_2,-0.1161086777446883
23Y-5,cell_count_150,-0.0670085488350128,mri_2,-0.1323654532400574
23Y-5,cell_count_200,-0.057080963836360785,mri_2,-0.13303884145819173
23Y-5,cell_count_250,-0.06159873098389267,mri_2,-0.13488663226780237
23Y-5,cell_count_300,-0.06364807810357241,mri_2,-0.13587824886777788
23Y-5,cell_count_350,-0.06193271602529287,mri_2,-0.13229250061487924
23Y-5,cell_count_400,-0.06642961863955378,mri_2,-0.13281968685286005
23Y-5,cell_count_450,-0.06549649249136495,mri_2,-0.1300887913792248
23Y-5,cell_count_50,-0.039051837310670114,mri_2,-0.10363955107542536
23Y-5,cell_count_500,-0.06730150958823423,mri_2,-0.1426301543001766
