hist_name,map_name,mi,mri_key,no_reg_mi
23Y-1,cell_count_100,-0.08251220268424496,mri_1,-0.08211106592309117
23Y-1,cell_count_150,-0.10450439165722188,mri_1,-0.10482078288959731
23Y-1,cell_count_200,-0.09967079579323083,mri_1,-0.09861237609678601
23Y-1,cell_count_250,-0.10183017003513924,mri_1,-0.10060338164736335
23Y-1,cell_count_300,-0.10006183207594284,mri_1,-0.09814486173281166
23Y-1,cell_count_350,-0.10007505357688579,mri_1,-0.09799424161772136
23Y-1,cell_count_400,-0.09835772437815868,mri_1,-0.0974395732338074
23Y-1,cell_count_450,-0.10124402340837294,mri_1,-0.09860239326220467
23Y-1,cell_count_50,-0.08994870314284757,mri_1,-0.08907891676360881
23Y-1,cell_count_500,-0.10677369700495001,mri_1,-0.10396950285624834
23Y-2,cell_count_100,-0.071154805988579,mri_1,-0.07146387462401009
23Y-2,cell_count_150,-0.08379767337658849,mri_1,-0.08546941411020952
23Y-2,cell_count_200,-0.08014658386382861,mri_1,-0.08119277379369697
23Y-2,cell_count_250,-0.08687051071482109,mri_1,-0.08884149500447604
23Y-2,cell_count_300,-0.07702430488276298,mri_1,-0.07790947396772585
23Y-2,cell_count_350,-0.08299546398459749,mri_1,-0.08211516889469192
23Y-2,cell_count_400,-0.07924706200708316,mri_1,-0.07846854440338484
23Y-2,cell_count_450,-0.08651498319699255,mri_1,-0.08357169989635568
23Y-2,cell_count_50,-0.07205794052888294,mri_1,-0.07301851719226966
23Y-2,cell_count_500,-0.0872463452311889,mri_1,-0.08941634217016871
23Y-3,cell_count_100,-0.08481451489167961,mri_1,-0.08472137350115369
23Y-3,cell_count_150,-0.10207467394907387,mri_1,-0.1022241984392143
23Y-3,cell_count_200,-0.10295637298612459,mri_1,-0.1029138599117426
23Y-3,cell_count_250,-0.10411687511001845,mri_1,-0.10423453409515936
23Y-3,cell_count_300,-0.09658052367952781,mri_1,-0.09659760329010668
23Y-3,cell_count_350,-0.09913433711370212,mri_1,-0.09875029211687293
23Y-3,cell_count_400,-0.09263907399573564,mri_1,-0.0924360605610232
23Y-3,cell_count_450,-0.09528039147870496,mri_1,-0.09483466950383145
23Y-3,cell_count_50,-0.07772467389277368,mri_1,-0.07769560757540196
23Y-3,cell_count_500,-0.10475871561613748,mri_1,-0.10454418320480971
23Y-3,cell_count_100,-0.08817441868487967,mri_2,-0.08795961274368395
23Y-3,cell_count_150,-0.10628650685360808,mri_2,-0.10647417825622678
23Y-3,cell_count_200,-0.10664148824034667,mri_2,-0.10655706710698715
23Y-3,cell_count_250,-0.10823730146782606,mri_2,-0.10825472037578
23Y-3,cell_count_300,-0.10206316132731967,mri_2,-0.10196334006504534
23Y-3,cell_count_350,-0.10346424648359083,mri_2,-0.10287691365740417
23Y-3,cell_count_400,-0.09676952873930247,mri_2,-0.09653378024473067
23Y-3,cell_count_450,-0.09918391312336483,mri_2,-0.09842301979182813
23Y-3,cell_count_50,-0.08058971125258797,mri_2,-0.0805741422127276
23Y-3,cell_count_500,-0.10919830725062415,mri_2,-0.1088896594519747
23Y-4,cell_count_100,-0.008452809265647903,mri_2,-0.008587401875828408
23Y-4,cell_count_150,-0.010342042694028053,mri_2,-0.010587326917414465
23Y-4,cell_count_200,-0.009806968623555429,mri_2,-0.010018747488114214
23Y-4,cell_count_250,-0.009888807628911311,mri_2,-0.010028108133977675
23Y-4,cell_count_300,-0.00994066226056568,mri_2,-0.010259643990905036
23Y-4,cell_count_350,-0.010134144518105908,mri_2,-0.010550351899082409
23Y-4,cell_count_400,-0.00993013756797149,mri_2,-0.010234982879564697
23Y-4,cell_count_450,-0.009800997236544689,mri_2,-0.010203658065205614
23Y-4,cell_count_50,-0.008097542479478376,mri_2,-0.00821406311341596
23Y-4,cell_count_500,-0.009752014793853033,mri_2,-0.01022603761581614
23Y-5,cell_count_100,-0.11676864315264886,mri_2,-0.1161086777446883
23Y-5,cell_count_150,-0.13263294578164805,mri_2,-0.1323654532400574
23Y-5,cell_count_200,-0.13375939891158906,mri_2,-0.13303884145819173
23Y-5,cell_count_250,-0.13570344952095828,mri_2,-0.13488663226780237
23Y-5,cell_count_300,-0.13703736692292803,mri_2,-0.13587824886777788
23Y-5,cell_count_350,-0.13321540397449155,mri_2,-0.13229250061487924
23Y-5,cell_count_400,-0.1339975347924221,mri_2,-0.13281968685286005
23Y-5,cell_count_450,-0.13117169082995073,mri_2,-0.1300887913792248
23Y-5,cell_count_50,-0.10387171244282892,mri_2,-0.10363955107542536
23Y-5,cell_count_500,-0.1437954547439097,mri_2,-0.1426301543001766
